class,label,block,a,b,metric,a_median,a_p25,a_p75,b_median,b_p25,b_p75,ratio_b_over_a,measurable,faster,result,a_index_used,b_index_used
J,JSONB storage form,B1,B1@J-1,B1@J-3,plan,0.081,0.077,0.096,0.061,0.058,0.064,0.7530864197530864,True,B1@J-3,measurable: B1@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B1,B1@J-0g,B1@J-3c,exec,24.598,22.922,25.277,1.501,1.396,1.617,0.06102122123749898,True,B1@J-3c,measurable: B1@J-3c faster,0/15,0/15
J,JSONB storage form,B1,B1@J-0g,B1@J-3c,plan,0.038,0.035,0.04,0.044,0.042,0.052,1.1578947368421053,True,B1@J-0g,measurable: B1@J-0g faster; below 0.1 ms: confirmed in session 2,0/15,0/15
NB,numeric B-tree vs spatial,B1,B1@N-1,B1@G-1,exec,0.181,0.179,0.198,0.245,0.24,0.252,1.3535911602209945,True,B1@N-1,measurable: B1@N-1 faster,15/15,15/15
NB,numeric B-tree vs spatial,B1,B1@N-1,B1@G-1,plan,0.073,0.069,0.084,0.061,0.059,0.07,0.8356164383561644,False,,not measurable (session 2 does not confirm),15/15,15/15
NB,numeric B-tree vs spatial,B1,B1@N-0,B1@G-0,exec,0.569,0.516,0.616,0.834,0.796,0.883,1.4657293497363797,True,B1@N-0,measurable: B1@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B1,B1@N-0,B1@G-0,plan,0.063,0.059,0.064,0.042,0.04,0.043,0.6666666666666667,True,B1@G-0,measurable: B1@G-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,B2,B2@G-1,B2@G-2,exec,0.254,0.238,0.267,0.279,0.253,0.295,1.0984251968503937,False,,not measurable,15/15,15/15
IM,index method,B2,B2@G-1,B2@G-2,plan,0.068,0.064,0.072,0.07,0.064,0.075,1.0294117647058825,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B2,B2@G-1,B2@G-3,exec,0.254,0.238,0.267,0.921,0.893,0.938,3.625984251968504,True,B2@G-1,measurable: B2@G-1 faster,15/15,0/15
IM,index method,B2,B2@G-1,B2@G-3,plan,0.068,0.064,0.072,0.079,0.066,0.093,1.1617647058823528,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B2,B2@G-2,B2@G-3,exec,0.279,0.253,0.295,0.921,0.893,0.938,3.301075268817204,True,B2@G-2,measurable: B2@G-2 faster,15/15,0/15
IM,index method,B2,B2@G-2,B2@G-3,plan,0.07,0.064,0.075,0.079,0.066,0.093,1.1285714285714286,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
F,flat vs JSONB (same type and index),B2,B2@G-1,B2@J-3,exec,0.254,0.238,0.267,0.419,0.4,0.434,1.6496062992125984,True,B2@G-1,measurable: B2@G-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),B2,B2@G-1,B2@J-3,plan,0.068,0.064,0.072,0.067,0.065,0.069,0.9852941176470588,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B2,B2@G-0,B2@J-3c,exec,0.851,0.826,0.876,1.502,1.468,1.529,1.764982373678026,True,B2@G-0,measurable: B2@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B2,B2@G-0,B2@J-3c,plan,0.043,0.041,0.045,0.045,0.044,0.048,1.0465116279069768,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,B2,B2@J-1,B2@J-3,exec,2.49,2.448,2.57,0.419,0.4,0.434,0.16827309236947788,True,B2@J-3,measurable: B2@J-3 faster,15/15,15/15
J,JSONB storage form,B2,B2@J-1,B2@J-3,plan,0.088,0.083,0.098,0.067,0.065,0.069,0.7613636363636365,True,B2@J-3,measurable: B2@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B2,B2@J-0g,B2@J-3c,exec,25.293,24.148,25.701,1.502,1.468,1.529,0.05938401929387578,True,B2@J-3c,measurable: B2@J-3c faster,0/15,0/15
J,JSONB storage form,B2,B2@J-0g,B2@J-3c,plan,0.036,0.034,0.036,0.045,0.044,0.048,1.25,True,B2@J-0g,measurable: B2@J-0g faster; below 0.1 ms: confirmed in session 2,0/15,0/15
NB,numeric B-tree vs spatial,B2,B2@N-1,B2@G-1,exec,0.268,0.252,0.284,0.254,0.238,0.267,0.9477611940298507,False,,not measurable,15/15,15/15
NB,numeric B-tree vs spatial,B2,B2@N-1,B2@G-1,plan,0.075,0.073,0.081,0.068,0.064,0.072,0.9066666666666667,False,,not measurable (session 2 does not confirm),15/15,15/15
NB,numeric B-tree vs spatial,B2,B2@N-0,B2@G-0,exec,0.614,0.549,0.642,0.851,0.826,0.876,1.3859934853420195,True,B2@N-0,measurable: B2@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B2,B2@N-0,B2@G-0,plan,0.064,0.062,0.069,0.043,0.041,0.045,0.6718749999999999,True,B2@G-0,measurable: B2@G-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,B3,B3@G-1,B3@G-2,exec,1.056,0.952,1.084,0.954,0.893,1.024,0.9034090909090908,False,,not measurable,15/15,15/15
IM,index method,B3,B3@G-1,B3@G-2,plan,0.062,0.056,0.066,0.062,0.059,0.068,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B3,B3@G-1,B3@G-3,exec,1.056,0.952,1.084,1.15,1.089,1.212,1.0890151515151514,False,,not measurable,15/15,0/15
IM,index method,B3,B3@G-1,B3@G-3,plan,0.062,0.056,0.066,0.069,0.062,0.078,1.1129032258064517,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B3,B3@G-2,B3@G-3,exec,0.954,0.893,1.024,1.15,1.089,1.212,1.2054507337526206,True,B3@G-2,measurable: B3@G-2 faster,15/15,0/15
IM,index method,B3,B3@G-2,B3@G-3,plan,0.062,0.059,0.068,0.069,0.062,0.078,1.1129032258064517,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
F,flat vs JSONB (same type and index),B3,B3@G-1,B3@J-3,exec,1.056,0.952,1.084,1.325,1.242,1.4,1.2547348484848484,True,B3@G-1,measurable: B3@G-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),B3,B3@G-1,B3@J-3,plan,0.062,0.056,0.066,0.064,0.061,0.067,1.032258064516129,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B3,B3@G-0,B3@J-3c,exec,1.132,1.023,1.176,1.799,1.688,1.885,1.5892226148409896,True,B3@G-0,measurable: B3@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B3,B3@G-0,B3@J-3c,plan,0.043,0.04,0.047,0.045,0.041,0.048,1.0465116279069768,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,B3,B3@J-1,B3@J-3,exec,8.877,8.738,9.711,1.325,1.242,1.4,0.14926213810972175,True,B3@J-3,measurable: B3@J-3 faster,15/15,15/15
J,JSONB storage form,B3,B3@J-1,B3@J-3,plan,0.088,0.081,0.095,0.064,0.061,0.067,0.7272727272727273,True,B3@J-3,measurable: B3@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B3,B3@J-0g,B3@J-3c,exec,25.076,23.906,26.511,1.799,1.688,1.885,0.07174190460998564,True,B3@J-3c,measurable: B3@J-3c faster,0/15,0/15
J,JSONB storage form,B3,B3@J-0g,B3@J-3c,plan,0.037,0.035,0.041,0.045,0.041,0.048,1.2162162162162162,False,,not measurable (session 2 does not confirm),0/15,0/15
NB,numeric B-tree vs spatial,B3,B3@N-1,B3@G-1,exec,0.526,0.494,0.553,1.056,0.952,1.084,2.0076045627376424,True,B3@N-1,measurable: B3@N-1 faster,15/15,15/15
NB,numeric B-tree vs spatial,B3,B3@N-1,B3@G-1,plan,0.084,0.077,0.087,0.062,0.056,0.066,0.738095238095238,True,B3@G-1,measurable: B3@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
NB,numeric B-tree vs spatial,B3,B3@N-0,B3@G-0,exec,0.869,0.773,0.908,1.132,1.023,1.176,1.3026467203682393,True,B3@N-0,measurable: B3@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B3,B3@N-0,B3@G-0,plan,0.069,0.068,0.073,0.043,0.04,0.047,0.6231884057971013,True,B3@G-0,measurable: B3@G-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,B4,B4@G-1,B4@G-2,exec,2.528,2.35,2.65,2.354,2.262,2.484,0.9311708860759494,False,,not measurable,15/15,15/15
IM,index method,B4,B4@G-1,B4@G-2,plan,0.225,0.207,0.238,0.227,0.218,0.238,1.008888888888889,False,,not measurable,15/15,15/15
IM,index method,B4,B4@G-1,B4@G-3,exec,2.528,2.35,2.65,1.74,1.666,1.799,0.6882911392405063,True,B4@G-3,measurable: B4@G-3 faster,15/15,0/15
IM,index method,B4,B4@G-1,B4@G-3,plan,0.225,0.207,0.238,0.248,0.241,0.251,1.1022222222222222,False,,not measurable,15/15,0/15
IM,index method,B4,B4@G-2,B4@G-3,exec,2.354,2.262,2.484,1.74,1.666,1.799,0.7391673746813934,True,B4@G-3,measurable: B4@G-3 faster,15/15,0/15
IM,index method,B4,B4@G-2,B4@G-3,plan,0.227,0.218,0.238,0.248,0.241,0.251,1.092511013215859,False,,not measurable,15/15,0/15
F,flat vs JSONB (same type and index),B4,B4@G-1,B4@J-3,exec,2.528,2.35,2.65,2.633,2.462,2.73,1.0415348101265822,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),B4,B4@G-1,B4@J-3,plan,0.225,0.207,0.238,0.217,0.21,0.237,0.9644444444444444,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),B4,B4@G-0,B4@J-3c,exec,1.612,1.488,1.706,2.374,2.311,2.457,1.4727047146401986,True,B4@G-0,measurable: B4@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B4,B4@G-0,B4@J-3c,plan,0.12,0.114,0.134,0.13,0.123,0.137,1.0833333333333335,False,,not measurable,0/15,0/15
J,JSONB storage form,B4,B4@J-1,B4@J-3,exec,23.15,21.91,23.731,2.633,2.462,2.73,0.11373650107991362,True,B4@J-3,measurable: B4@J-3 faster,15/15,15/15
J,JSONB storage form,B4,B4@J-1,B4@J-3,plan,0.25,0.243,0.259,0.217,0.21,0.237,0.868,True,B4@J-3,measurable: B4@J-3 faster,15/15,15/15
J,JSONB storage form,B4,B4@J-0g,B4@J-3c,exec,26.417,24.339,27.429,2.374,2.311,2.457,0.08986637392588107,True,B4@J-3c,measurable: B4@J-3c faster,0/15,0/15
J,JSONB storage form,B4,B4@J-0g,B4@J-3c,plan,0.043,0.037,0.047,0.13,0.123,0.137,3.023255813953489,True,B4@J-0g,measurable: B4@J-0g faster; below 0.1 ms: confirmed in session 2,0/15,0/15
NB,numeric B-tree vs spatial,B4,B4@N-1,B4@G-1,exec,1.275,1.186,1.307,2.528,2.35,2.65,1.9827450980392158,True,B4@N-1,measurable: B4@N-1 faster,0/15,15/15
NB,numeric B-tree vs spatial,B4,B4@N-1,B4@G-1,plan,0.099,0.094,0.104,0.225,0.207,0.238,2.2727272727272725,True,B4@N-1,measurable: B4@N-1 faster; below 0.1 ms: confirmed in session 2,0/15,15/15
NB,numeric B-tree vs spatial,B4,B4@N-0,B4@G-0,exec,1.224,1.107,1.307,1.612,1.488,1.706,1.3169934640522878,True,B4@N-0,measurable: B4@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B4,B4@N-0,B4@G-0,plan,0.067,0.065,0.076,0.12,0.114,0.134,1.7910447761194028,True,B4@N-0,measurable: B4@N-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,B5,B5@G-1,B5@G-2,exec,0.038,0.036,0.04,0.067,0.057,0.069,1.7631578947368423,True,B5@G-1,measurable: B5@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B5,B5@G-1,B5@G-2,plan,0.098,0.094,0.098,0.098,0.093,0.104,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B5,B5@G-1,B5@G-3,exec,0.038,0.036,0.04,1.504,1.42,1.554,39.578947368421055,True,B5@G-1,measurable: B5@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B5,B5@G-1,B5@G-3,plan,0.098,0.094,0.098,0.122,0.097,0.134,1.2448979591836733,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B5,B5@G-2,B5@G-3,exec,0.067,0.057,0.069,1.504,1.42,1.554,22.447761194029848,True,B5@G-2,measurable: B5@G-2 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B5,B5@G-2,B5@G-3,plan,0.098,0.093,0.104,0.122,0.097,0.134,1.2448979591836733,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B5,B5@G-1,B5@J-3,exec,0.038,0.036,0.04,0.038,0.037,0.041,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B5,B5@G-1,B5@J-3,plan,0.098,0.094,0.098,0.098,0.096,0.115,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B5,B5@G-0,B5@J-3c,exec,1.235,1.195,1.271,2.041,1.996,2.082,1.6526315789473682,True,B5@G-0,measurable: B5@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B5,B5@G-0,B5@J-3c,plan,0.061,0.059,0.062,0.068,0.061,0.071,1.1147540983606559,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,B5,B5@J-1,B5@J-3,exec,0.05,0.043,0.054,0.038,0.037,0.041,0.7599999999999999,True,B5@J-3,measurable: B5@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B5,B5@J-1,B5@J-3,plan,0.131,0.123,0.157,0.098,0.096,0.115,0.7480916030534351,True,B5@J-3,measurable: B5@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B5,B5@J-0g,B5@J-3c,exec,46.525,45.32,46.925,2.041,1.996,2.082,0.04386888769478775,True,B5@J-3c,measurable: B5@J-3c faster,0/15,0/15
J,JSONB storage form,B5,B5@J-0g,B5@J-3c,plan,0.046,0.045,0.048,0.068,0.061,0.071,1.4782608695652175,True,B5@J-0g,measurable: B5@J-0g faster; below 0.1 ms: confirmed in session 2,0/15,0/15
NB,numeric B-tree vs spatial,B5,B5@N-1,B5@G-1,exec,0.912,0.889,0.925,0.038,0.036,0.04,0.041666666666666664,True,B5@G-1,measurable: B5@G-1 faster; below 0.1 ms: confirmed in session 2,0/15,15/15
NB,numeric B-tree vs spatial,B5,B5@N-1,B5@G-1,plan,0.104,0.1,0.115,0.098,0.094,0.098,0.9423076923076924,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,15/15
NB,numeric B-tree vs spatial,B5,B5@N-0,B5@G-0,exec,0.902,0.85,0.935,1.235,1.195,1.271,1.369179600886918,True,B5@N-0,measurable: B5@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B5,B5@N-0,B5@G-0,plan,0.07,0.067,0.071,0.061,0.059,0.062,0.8714285714285713,True,B5@G-0,measurable: B5@G-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,B6,B6@G-1,B6@G-2,exec,0.024,0.021,0.025,0.042,0.037,0.046,1.75,True,B6@G-1,measurable: B6@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B6,B6@G-1,B6@G-2,plan,0.079,0.074,0.091,0.084,0.078,0.09,1.0632911392405064,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
IM,index method,B6,B6@G-1,B6@G-3,exec,0.024,0.021,0.025,0.797,0.734,0.839,33.208333333333336,True,B6@G-1,measurable: B6@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B6,B6@G-1,B6@G-3,plan,0.079,0.074,0.091,0.089,0.072,0.099,1.1265822784810127,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B6,B6@G-2,B6@G-3,exec,0.042,0.037,0.046,0.797,0.734,0.839,18.976190476190474,True,B6@G-2,measurable: B6@G-2 faster; below 0.1 ms: confirmed in session 2,15/15,0/15
IM,index method,B6,B6@G-2,B6@G-3,plan,0.084,0.078,0.09,0.089,0.072,0.099,1.0595238095238093,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,0/15
F,flat vs JSONB (same type and index),B6,B6@G-1,B6@J-3,exec,0.024,0.021,0.025,0.024,0.022,0.025,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B6,B6@G-1,B6@J-3,plan,0.079,0.074,0.091,0.079,0.07,0.082,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,15/15,15/15
F,flat vs JSONB (same type and index),B6,B6@G-0,B6@J-3c,exec,0.754,0.662,0.779,1.391,1.226,1.472,1.8448275862068966,True,B6@G-0,measurable: B6@G-0 faster,0/15,0/15
F,flat vs JSONB (same type and index),B6,B6@G-0,B6@J-3c,plan,0.05,0.044,0.05,0.052,0.049,0.057,1.0399999999999998,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,B6,B6@J-1,B6@J-3,exec,0.032,0.029,0.035,0.024,0.022,0.025,0.75,True,B6@J-3,measurable: B6@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B6,B6@J-1,B6@J-3,plan,0.1,0.086,0.111,0.079,0.07,0.082,0.7899999999999999,True,B6@J-3,measurable: B6@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
J,JSONB storage form,B6,B6@J-0g,B6@J-3c,exec,24.026,22.659,25.818,1.391,1.226,1.472,0.057895613085823694,True,B6@J-3c,measurable: B6@J-3c faster,0/15,0/15
J,JSONB storage form,B6,B6@J-0g,B6@J-3c,plan,0.034,0.029,0.042,0.052,0.049,0.057,1.5294117647058822,True,B6@J-0g,measurable: B6@J-0g faster; below 0.1 ms: confirmed in session 2,0/15,0/15
NB,numeric B-tree vs spatial,B6,B6@N-1,B6@G-1,exec,0.018,0.016,0.019,0.024,0.021,0.025,1.3333333333333335,True,B6@N-1,measurable: B6@N-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
NB,numeric B-tree vs spatial,B6,B6@N-1,B6@G-1,plan,0.093,0.083,0.099,0.079,0.074,0.091,0.8494623655913979,False,,not measurable (session 2 does not confirm),15/15,15/15
NB,numeric B-tree vs spatial,B6,B6@N-0,B6@G-0,exec,0.434,0.404,0.496,0.754,0.662,0.779,1.737327188940092,True,B6@N-0,measurable: B6@N-0 faster,0/15,0/15
NB,numeric B-tree vs spatial,B6,B6@N-0,B6@G-0,plan,0.065,0.058,0.067,0.05,0.044,0.05,0.7692307692307693,True,B6@G-0,measurable: B6@G-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,D1,D1@Y-1,D1@Y-2,exec,0.438,0.412,0.452,0.789,0.739,0.878,1.8013698630136987,True,D1@Y-1,measurable: D1@Y-1 faster,15/15,15/15
IM,index method,D1,D1@Y-1,D1@Y-2,plan,0.48,0.448,0.511,0.496,0.427,0.538,1.0333333333333334,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D1,D1@Y-1,D1@J-4,exec,0.438,0.412,0.452,0.56,0.527,0.709,1.2785388127853883,True,D1@Y-1,measurable: D1@Y-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),D1,D1@Y-1,D1@J-4,plan,0.48,0.448,0.511,0.469,0.435,0.477,0.9770833333333333,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D1,D1@Y-0,D1@J-4c,exec,7.745,7.609,8.287,8.519,8.267,9.069,1.0999354422207877,False,,not measurable,0/15,0/15
F,flat vs JSONB (same type and index),D1,D1@Y-0,D1@J-4c,plan,0.034,0.032,0.036,0.034,0.032,0.037,1.0,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,D1,D1@J-2,D1@J-4,exec,2.803,2.657,2.897,0.56,0.527,0.709,0.19978594363182306,True,D1@J-4,measurable: D1@J-4 faster,15/15,15/15
J,JSONB storage form,D1,D1@J-2,D1@J-4,plan,0.541,0.495,0.561,0.469,0.435,0.477,0.8669131238447318,True,D1@J-4,measurable: D1@J-4 faster,15/15,15/15
J,JSONB storage form,D1,D1@J-0y,D1@J-4c,exec,33.305,32.254,34.686,8.519,8.267,9.069,0.25578741930641047,True,D1@J-4c,measurable: D1@J-4c faster,0/15,0/15
J,JSONB storage form,D1,D1@J-0y,D1@J-4c,plan,0.041,0.036,0.045,0.034,0.032,0.037,0.8292682926829269,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
GG,geometry vs geography / method,D1,D1@Y-1,MD1@G-1,exec,0.438,0.412,0.452,0.597,0.54,0.634,1.3630136986301369,True,D1@Y-1,measurable: D1@Y-1 faster,15/15,15/15
GG,geometry vs geography / method,D1,D1@Y-1,MD1@G-1,plan,0.48,0.448,0.511,0.098,0.079,0.114,0.2041666666666667,True,MD1@G-1,measurable: MD1@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
GG,geometry vs geography / method,D1,D1@Y-0,MD1@G-0,exec,7.745,7.609,8.287,1.147,1.067,1.171,0.14809554551323434,True,MD1@G-0,measurable: MD1@G-0 faster,0/15,0/15
GG,geometry vs geography / method,D1,D1@Y-0,MD1@G-0,plan,0.034,0.032,0.036,0.084,0.072,0.096,2.4705882352941178,True,D1@Y-0,measurable: D1@Y-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,D2,D2@Y-1,D2@Y-2,exec,1.146,1.032,1.223,1.519,1.424,1.543,1.3254799301919722,True,D2@Y-1,measurable: D2@Y-1 faster,15/15,15/15
IM,index method,D2,D2@Y-1,D2@Y-2,plan,0.503,0.462,0.531,0.506,0.463,0.549,1.0059642147117296,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D2,D2@Y-1,D2@J-4,exec,1.146,1.032,1.223,1.487,1.44,1.783,1.2975567190226878,True,D2@Y-1,measurable: D2@Y-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),D2,D2@Y-1,D2@J-4,plan,0.503,0.462,0.531,0.494,0.448,0.571,0.9821073558648111,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D2,D2@Y-0,D2@J-4c,exec,7.29,6.996,7.802,7.867,7.576,8.272,1.0791495198902605,False,,not measurable,0/15,0/15
F,flat vs JSONB (same type and index),D2,D2@Y-0,D2@J-4c,plan,0.036,0.034,0.039,0.035,0.034,0.039,0.9722222222222224,False,,not measurable; below 0.1 ms: confirmed in session 2,0/15,0/15
J,JSONB storage form,D2,D2@J-2,D2@J-4,exec,6.95,6.78,7.473,1.487,1.44,1.783,0.2139568345323741,True,D2@J-4,measurable: D2@J-4 faster,15/15,15/15
J,JSONB storage form,D2,D2@J-2,D2@J-4,plan,0.53,0.484,0.59,0.494,0.448,0.571,0.9320754716981131,False,,not measurable,15/15,15/15
J,JSONB storage form,D2,D2@J-0y,D2@J-4c,exec,32.492,31.217,35.066,7.867,7.576,8.272,0.2421211375107719,True,D2@J-4c,measurable: D2@J-4c faster,0/15,0/15
J,JSONB storage form,D2,D2@J-0y,D2@J-4c,plan,0.042,0.039,0.046,0.035,0.034,0.039,0.8333333333333334,False,,not measurable (session 2 does not confirm),0/15,0/15
GG,geometry vs geography / method,D2,D2@Y-1,MD2@G-1,exec,1.146,1.032,1.223,1.798,1.636,2.079,1.5689354275741711,True,D2@Y-1,measurable: D2@Y-1 faster,15/15,15/15
GG,geometry vs geography / method,D2,D2@Y-1,MD2@G-1,plan,0.503,0.462,0.531,0.097,0.084,0.107,0.19284294234592445,True,MD2@G-1,measurable: MD2@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,15/15
GG,geometry vs geography / method,D2,D2@Y-0,MD2@G-0,exec,7.29,6.996,7.802,2.111,1.906,2.329,0.2895747599451303,True,MD2@G-0,measurable: MD2@G-0 faster,0/15,0/15
GG,geometry vs geography / method,D2,D2@Y-0,MD2@G-0,plan,0.036,0.034,0.039,0.094,0.075,0.116,2.611111111111111,True,D2@Y-0,measurable: D2@Y-0 faster; below 0.1 ms: confirmed in session 2,0/15,0/15
IM,index method,D3,D3@Y-1,D3@Y-2,exec,0.599,0.557,0.641,0.93,0.867,1.002,1.552587646076795,True,D3@Y-1,measurable: D3@Y-1 faster,15/15,15/15
IM,index method,D3,D3@Y-1,D3@Y-2,plan,0.54,0.527,0.583,0.561,0.533,0.65,1.038888888888889,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D3,D3@Y-1,D3@J-4,exec,0.599,0.557,0.641,0.911,0.824,0.955,1.5208681135225377,True,D3@Y-1,measurable: D3@Y-1 faster,15/15,15/15
F,flat vs JSONB (same type and index),D3,D3@Y-1,D3@J-4,plan,0.54,0.527,0.583,0.554,0.533,0.621,1.025925925925926,False,,not measurable,15/15,15/15
F,flat vs JSONB (same type and index),D3,D3@Y-0,D3@J-4c,exec,7.437,7.28,7.949,8.663,8.135,8.886,1.1648514185827619,True,D3@Y-0,measurable: D3@Y-0 faster,0/15,0/15
