class,label,block,a,b,metric,a_median,a_p25,a_p75,b_median,b_p25,b_p75,ratio_b_over_a,measurable,faster,result,a_index_used,b_index_used,verdict,index
I,index vs control,B4,B4@G-1,B4@G-0,exec,2.528,2.35,2.65,1.612,1.488,1.706,0.6376582278481013,True,B4@G-0,measurable: B4@G-0 faster,15/15,0/15,measurable regression,flat_geom_gist_idx
I,index vs control,B4,B4@G-2,B4@G-0,exec,2.354,2.262,2.484,1.612,1.488,1.706,0.6847918436703484,True,B4@G-0,measurable: B4@G-0 faster,15/15,0/15,measurable regression,flat_geom_spgist_idx
I,index vs control,B4,B4@G-3,B4@G-0,exec,1.74,1.666,1.799,1.612,1.488,1.706,0.9264367816091955,False,,not measurable,0/15,0/15,index not used by the planner,flat_geom_brin_idx
I,index vs control,B4,B4@J-1,B4@J-0g,exec,23.15,21.91,23.731,26.417,24.339,27.429,1.141123110151188,True,B4@J-1,measurable: B4@J-1 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B4,B4@J-3,B4@J-3c,exec,2.633,2.462,2.73,2.374,2.311,2.457,0.9016331181162173,False,,not measurable,15/15,0/15,"index used, no measurable benefit",jsonb_geom_gist_idx
I,index vs control,B5,B5@N-1,B5@N-0,exec,0.912,0.889,0.925,0.902,0.85,0.935,0.9890350877192983,False,,not measurable,0/15,0/15,index not used by the planner,flat_numeric_btree_lat_lon_idx
I,index vs control,B5,B5@G-1,B5@G-0,exec,0.038,0.036,0.04,1.235,1.195,1.271,32.5,True,B5@G-1,measurable: B5@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,B5,B5@G-2,B5@G-0,exec,0.067,0.057,0.069,1.235,1.195,1.271,18.432835820895523,True,B5@G-2,measurable: B5@G-2 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_spgist_idx
I,index vs control,B5,B5@G-3,B5@G-0,exec,1.504,1.42,1.554,1.235,1.195,1.271,0.8211436170212767,True,B5@G-0,measurable: B5@G-0 faster,15/15,0/15,measurable regression,flat_geom_brin_idx
I,index vs control,B5,B5@J-1,B5@J-0g,exec,0.05,0.043,0.054,46.525,45.32,46.925,930.4999999999999,True,B5@J-1,measurable: B5@J-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B5,B5@J-3,B5@J-3c,exec,0.038,0.037,0.041,2.041,1.996,2.082,53.71052631578947,True,B5@J-3,measurable: B5@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
I,index vs control,B6,B6@N-1,B6@N-0,exec,0.018,0.016,0.019,0.434,0.404,0.496,24.111111111111114,True,B6@N-1,measurable: B6@N-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_numeric_btree_lat_lon_idx
I,index vs control,B6,B6@G-1,B6@G-0,exec,0.024,0.021,0.025,0.754,0.662,0.779,31.416666666666668,True,B6@G-1,measurable: B6@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,B6,B6@G-2,B6@G-0,exec,0.042,0.037,0.046,0.754,0.662,0.779,17.952380952380953,True,B6@G-2,measurable: B6@G-2 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_spgist_idx
I,index vs control,B6,B6@G-3,B6@G-0,exec,0.797,0.734,0.839,0.754,0.662,0.779,0.946047678795483,False,,not measurable,0/15,0/15,index not used by the planner,flat_geom_brin_idx
I,index vs control,B6,B6@J-1,B6@J-0g,exec,0.032,0.029,0.035,24.026,22.659,25.818,750.8125,True,B6@J-1,measurable: B6@J-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,B6,B6@J-3,B6@J-3c,exec,0.024,0.022,0.025,1.391,1.226,1.472,57.958333333333336,True,B6@J-3,measurable: B6@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
I,index vs control,D1,D1@Y-1,D1@Y-0,exec,0.438,0.412,0.452,7.745,7.609,8.287,17.682648401826484,True,D1@Y-1,measurable: D1@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D1,D1@Y-2,D1@Y-0,exec,0.789,0.739,0.878,7.745,7.609,8.287,9.816223067173636,True,D1@Y-2,measurable: D1@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D1,D1@J-2,D1@J-0y,exec,2.803,2.657,2.897,33.305,32.254,34.686,11.881912236889047,True,D1@J-2,measurable: D1@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D1,D1@J-4,D1@J-4c,exec,0.56,0.527,0.709,8.519,8.267,9.069,15.212499999999999,True,D1@J-4,measurable: D1@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D1,MD1@G-1,MD1@G-0,exec,0.597,0.54,0.634,1.147,1.067,1.171,1.9212730318257958,True,MD1@G-1,measurable: MD1@G-1 faster,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,D2,D2@Y-1,D2@Y-0,exec,1.146,1.032,1.223,7.29,6.996,7.802,6.361256544502618,True,D2@Y-1,measurable: D2@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D2,D2@Y-2,D2@Y-0,exec,1.519,1.424,1.543,7.29,6.996,7.802,4.799210006583279,True,D2@Y-2,measurable: D2@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D2,D2@J-2,D2@J-0y,exec,6.95,6.78,7.473,32.492,31.217,35.066,4.6751079136690645,True,D2@J-2,measurable: D2@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D2,D2@J-4,D2@J-4c,exec,1.487,1.44,1.783,7.867,7.576,8.272,5.2905178211163415,True,D2@J-4,measurable: D2@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D2,MD2@G-1,MD2@G-0,exec,1.798,1.636,2.079,2.111,1.906,2.329,1.1740823136818688,False,,not measurable,15/15,0/15,"index used, no measurable benefit",flat_geom_gist_idx
I,index vs control,D3,D3@Y-1,D3@Y-0,exec,0.599,0.557,0.641,7.437,7.28,7.949,12.41569282136895,True,D3@Y-1,measurable: D3@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D3,D3@Y-2,D3@Y-0,exec,0.93,0.867,1.002,7.437,7.28,7.949,7.996774193548387,True,D3@Y-2,measurable: D3@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D3,D3@J-2,D3@J-0y,exec,4.02,3.859,4.282,31.665,30.822,35.195,7.8768656716417915,True,D3@J-2,measurable: D3@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D3,D3@J-4,D3@J-4c,exec,0.911,0.824,0.955,8.663,8.135,8.886,9.509330406147091,True,D3@J-4,measurable: D3@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D4,D4@Y-1,D4@Y-0,exec,1.847,1.807,2.023,5.657,5.444,6.251,3.0628045479155386,True,D4@Y-1,measurable: D4@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D4,D4@Y-2,D4@Y-0,exec,2.259,2.177,2.41,5.657,5.444,6.251,2.5042054006197434,True,D4@Y-2,measurable: D4@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D4,D4@J-2,D4@J-0y,exec,13.222,12.322,14.085,30.961,30.107,32.892,2.3416275903796704,True,D4@J-2,measurable: D4@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D4,D4@J-4,D4@J-4c,exec,2.556,2.29,2.721,6.876,6.314,7.311,2.6901408450704225,True,D4@J-4,measurable: D4@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D5,D5@Y-1,D5@Y-0,exec,1.36,1.22,1.483,8.189,7.973,8.538,6.021323529411764,True,D5@Y-1,measurable: D5@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D5,D5@Y-2,D5@Y-0,exec,1.632,1.473,1.734,8.189,7.973,8.538,5.017769607843138,True,D5@Y-2,measurable: D5@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D5,D5@J-2,D5@J-0y,exec,4.736,4.449,5.353,33.55,32.477,35.936,7.084037162162162,True,D5@J-2,measurable: D5@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D5,D5@J-4,D5@J-4c,exec,1.625,1.584,1.835,9.136,8.662,9.598,5.622153846153846,True,D5@J-4,measurable: D5@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D6,D6@Y-1,D6@Y-0,exec,0.116,0.105,0.149,8.168,8.03,8.63,70.41379310344827,True,D6@Y-1,measurable: D6@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D6,D6@Y-2,D6@Y-0,exec,0.448,0.42,0.476,8.168,8.03,8.63,18.232142857142854,True,D6@Y-2,measurable: D6@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D6,D6@J-2,D6@J-0y,exec,0.329,0.282,0.357,33.963,32.708,35.242,103.23100303951368,True,D6@J-2,measurable: D6@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D6,D6@J-4,D6@J-4c,exec,0.098,0.093,0.118,9.1,8.895,9.512,92.85714285714285,True,D6@J-4,measurable: D6@J-4 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D6,MD6@G-1,MD6@G-0,exec,0.071,0.063,0.072,0.648,0.632,0.697,9.126760563380282,True,MD6@G-1,measurable: MD6@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,D7,D7@Y-1,D7@Y-0,exec,0.042,0.034,0.056,4.331,4.162,4.565,103.11904761904762,True,D7@Y-1,measurable: D7@Y-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D7,D7@Y-2,D7@Y-0,exec,0.419,0.354,0.483,4.331,4.162,4.565,10.336515513126493,True,D7@Y-2,measurable: D7@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D7,D7@J-2,D7@J-0y,exec,0.057,0.045,0.072,30.254,29.318,30.602,530.7719298245614,True,D7@J-2,measurable: D7@J-2 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D7,D7@J-4,D7@J-4c,exec,0.035,0.029,0.041,5.157,4.971,5.248,147.34285714285713,True,D7@J-4,measurable: D7@J-4 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D1-s,D1-s@Y-1,D1-s@Y-0,exec,0.431,0.391,0.476,2.596,2.4,2.622,6.023201856148492,True,D1-s@Y-1,measurable: D1-s@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D1-s,D1-s@Y-2,D1-s@Y-0,exec,0.787,0.736,0.869,2.596,2.4,2.622,3.298602287166455,True,D1-s@Y-2,measurable: D1-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D1-s,D1-s@J-2,D1-s@J-0y,exec,2.735,2.561,2.89,27.86,27.067,28.707,10.186471663619745,True,D1-s@J-2,measurable: D1-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D1-s,D1-s@J-4,D1-s@J-4c,exec,0.535,0.491,0.578,3.241,3.13,3.492,6.057943925233645,True,D1-s@J-4,measurable: D1-s@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D2-s,D2-s@Y-1,D2-s@Y-0,exec,1.037,0.96,1.18,2.532,2.497,2.751,2.441658630665381,True,D2-s@Y-1,measurable: D2-s@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D2-s,D2-s@Y-2,D2-s@Y-0,exec,1.553,1.369,1.663,2.532,2.497,2.751,1.630392788151964,True,D2-s@Y-2,measurable: D2-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D2-s,D2-s@J-2,D2-s@J-0y,exec,6.8,6.742,7.3,27.026,26.418,29.215,3.9744117647058825,True,D2-s@J-2,measurable: D2-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D2-s,D2-s@J-4,D2-s@J-4c,exec,1.379,1.356,1.486,3.263,3.2,3.366,2.366207396664249,True,D2-s@J-4,measurable: D2-s@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D3-s,D3-s@Y-1,D3-s@Y-0,exec,0.618,0.584,0.637,2.741,2.584,2.939,4.435275080906149,True,D3-s@Y-1,measurable: D3-s@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D3-s,D3-s@Y-2,D3-s@Y-0,exec,0.95,0.821,1.033,2.741,2.584,2.939,2.885263157894737,True,D3-s@Y-2,measurable: D3-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D3-s,D3-s@J-2,D3-s@J-0y,exec,4.099,3.994,4.234,28.743,27.938,29.651,7.012198097096852,True,D3-s@J-2,measurable: D3-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D3-s,D3-s@J-4,D3-s@J-4c,exec,0.856,0.809,0.962,3.344,3.234,3.558,3.906542056074766,True,D3-s@J-4,measurable: D3-s@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D4-s,D4-s@Y-1,D4-s@Y-0,exec,1.937,1.857,2.124,2.736,2.609,2.843,1.4124935467217348,True,D4-s@Y-1,measurable: D4-s@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D4-s,D4-s@Y-2,D4-s@Y-0,exec,2.282,2.154,2.632,2.736,2.609,2.843,1.1989482909728308,False,,not measurable,15/15,0/15,"index used, no measurable benefit",flat_geog_spgist_idx
I,index vs control,D4-s,D4-s@J-2,D4-s@J-0y,exec,13.641,12.462,13.966,27.135,26.257,28.683,1.9892236639542558,True,D4-s@J-2,measurable: D4-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D4-s,D4-s@J-4,D4-s@J-4c,exec,2.361,2.271,2.467,3.583,3.425,3.704,1.5175772977551885,True,D4-s@J-4,measurable: D4-s@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D5-s,D5-s@Y-1,D5-s@Y-0,exec,0.484,0.454,0.531,2.422,2.307,2.531,5.004132231404959,True,D5-s@Y-1,measurable: D5-s@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D5-s,D5-s@Y-2,D5-s@Y-0,exec,0.789,0.755,0.846,2.422,2.307,2.531,3.0697084917617237,True,D5-s@Y-2,measurable: D5-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D5-s,D5-s@J-2,D5-s@J-0y,exec,3.935,3.563,4.145,27.399,26.553,28.394,6.96289707750953,True,D5-s@J-2,measurable: D5-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D5-s,D5-s@J-4,D5-s@J-4c,exec,0.701,0.668,0.785,3.115,2.991,3.322,4.443651925820257,True,D5-s@J-4,measurable: D5-s@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D6-s,D6-s@Y-1,D6-s@Y-0,exec,0.093,0.078,0.125,2.738,2.611,2.847,29.440860215053764,True,D6-s@Y-1,measurable: D6-s@Y-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D6-s,D6-s@Y-2,D6-s@Y-0,exec,0.449,0.365,0.514,2.738,2.611,2.847,6.097995545657016,True,D6-s@Y-2,measurable: D6-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D6-s,D6-s@J-2,D6-s@J-0y,exec,0.312,0.28,0.329,29.023,28.071,30.26,93.0224358974359,True,D6-s@J-2,measurable: D6-s@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D6-s,D6-s@J-4,D6-s@J-4c,exec,0.086,0.071,0.108,3.52,3.417,3.597,40.93023255813954,True,D6-s@J-4,measurable: D6-s@J-4 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,D7-s,D7-s@Y-1,D7-s@Y-0,exec,0.034,0.029,0.045,2.539,2.383,2.774,74.67647058823529,True,D7-s@Y-1,measurable: D7-s@Y-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,D7-s,D7-s@Y-2,D7-s@Y-0,exec,0.357,0.343,0.493,2.539,2.383,2.774,7.112044817927171,True,D7-s@Y-2,measurable: D7-s@Y-2 faster,15/15,0/15,measurable benefit,flat_geog_spgist_idx
I,index vs control,D7-s,D7-s@J-2,D7-s@J-0y,exec,0.042,0.039,0.059,27.586,26.192,28.39,656.8095238095237,True,D7-s@J-2,measurable: D7-s@J-2 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,D7-s,D7-s@J-4,D7-s@J-4c,exec,0.03,0.027,0.047,3.318,3.033,3.43,110.60000000000001,True,D7-s@J-4,measurable: D7-s@J-4 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,K1,K1@Y-1,K1@Y-0,exec,0.105,0.095,0.117,3.056,2.838,3.435,29.104761904761908,True,K1@Y-1,measurable: K1@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,K1,K1@Y-2,K1@Y-0,exec,3.289,3.157,3.5,3.056,2.838,3.435,0.9291577987230161,False,,not measurable,0/15,0/15,not supported (operator class has no ordering operator),flat_geog_spgist_idx
I,index vs control,K1,K1@J-2,K1@J-0y,exec,0.19,0.181,0.205,29.544,27.76,31.96,155.49473684210525,True,K1@J-2,measurable: K1@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,K1,K1@J-4,K1@J-4c,exec,0.11,0.107,0.12,3.893,3.704,4.161,35.39090909090909,True,K1@J-4,measurable: K1@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,K1,K1g@G-1,K1g@G-0,exec,0.054,0.051,0.06,1.481,1.421,1.637,27.425925925925927,True,K1g@G-1,measurable: K1g@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,K2,K2@Y-1,K2@Y-0,exec,0.273,0.26,0.288,3.128,2.937,3.233,11.457875457875458,True,K2@Y-1,measurable: K2@Y-1 faster,15/15,0/15,measurable benefit,flat_geog_gist_idx
I,index vs control,K2,K2@Y-2,K2@Y-0,exec,3.313,3.167,3.372,3.128,2.937,3.233,0.9441593721702385,False,,not measurable,0/15,0/15,not supported (operator class has no ordering operator),flat_geog_spgist_idx
I,index vs control,K2,K2@J-2,K2@J-0y,exec,1.456,1.394,1.482,29.501,28.84,30.558,20.261675824175825,True,K2@J-2,measurable: K2@J-2 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geog_gist_idx
I,index vs control,K2,K2@J-4,K2@J-4c,exec,0.319,0.302,0.362,3.866,3.698,4.0,12.119122257053291,True,K2@J-4,measurable: K2@J-4 faster,15/15,0/15,measurable benefit,jsonb_geog_gist_idx
I,index vs control,K3,K3@G-1,K3@G-0,exec,0.074,0.067,0.085,1.648,1.572,1.722,22.27027027027027,True,K3@G-1,measurable: K3@G-1 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,flat_geom_gist_idx
I,index vs control,K3,K3@G-2,K3@G-0,exec,1.72,1.632,1.867,1.648,1.572,1.722,0.958139534883721,False,,not measurable,0/15,0/15,not supported (operator class has no ordering operator),flat_geom_spgist_idx
I,index vs control,K3,K3@G-3,K3@G-0,exec,1.8,1.627,1.966,1.648,1.572,1.722,0.9155555555555555,False,,not measurable,0/15,0/15,not supported (operator class has no ordering operator),flat_geom_brin_idx
I,index vs control,K3,K3@J-1,K3@J-0g,exec,0.167,0.152,0.188,28.91,26.308,30.73,173.11377245508982,True,K3@J-1,measurable: K3@J-1 faster,15/15,0/15,measurable benefit,jsonb_doc_expr_geom_gist_idx
I,index vs control,K3,K3@J-3,K3@J-3c,exec,0.072,0.068,0.086,2.389,2.227,2.528,33.18055555555556,True,K3@J-3,measurable: K3@J-3 faster; below 0.1 ms: confirmed in session 2,15/15,0/15,measurable benefit,jsonb_geom_gist_idx
