session,block,series,query,config,runs,exec_median,exec_p25,exec_p75,exec_min,exec_max,plan_median,plan_p25,plan_p75,index_used_runs,indexes_used,plan_shapes,shared_hit,top_rows,scan_plan_rows,rows_removed_filter,rows_removed_recheck,exact_heap_blocks,lossy_heap_blocks,rows_ok
1,B3,B3@J-0g,B3,J-0g,15,25.076,23.906,26.511,23.085,26.59,0.037,0.035,0.041,0,,Seq Scan on jsonb_doc,981,1580,1,3420,0,0,0,True
1,B3,B3@J-1,B3,J-1,15,8.877,8.738,9.711,8.342,10.228,0.088,0.081,0.095,15,jsonb_doc_expr_geom_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx],832,1580,1899,0,0,823,0,True
1,B3,B3@J-3,B3,J-3,15,1.325,1.242,1.4,1.177,1.444,0.064,0.061,0.067,15,jsonb_geom_gist_idx,Bitmap Heap Scan on jsonb_geom_gist [Bitmap Index Scan using jsonb_geom_gist_idx],765,1580,1899,0,0,756,0,True
1,B3,B3@J-3c,B3,J-3c,15,1.799,1.688,1.885,1.598,1.988,0.045,0.041,0.048,0,,Seq Scan on jsonb_geom,879,1580,1899,3420,0,0,0,True
1,B3,B3@N-0,B3,N-0,15,0.869,0.773,0.908,0.754,0.949,0.069,0.068,0.073,0,,Seq Scan on flat_numeric,31,1580,511,3420,0,0,0,True
1,B3,B3@N-1,B3,N-1,15,0.526,0.494,0.553,0.461,0.595,0.084,0.077,0.087,15,flat_numeric_btree_lat_lon_idx,Bitmap Heap Scan on flat_numeric_btree [Bitmap Index Scan using flat_numeric_btree_lat_lon_idx],40,1580,511,0,0,31,0,True
1,B4,B4@G-0,B4,G-0,15,1.612,1.488,1.706,1.427,1.893,0.12,0.114,0.134,0,,Seq Scan on flat_geom,39,3897,4740,1103,0,0,0,True
1,B4,B4@G-1,B4,G-1,15,2.528,2.35,2.65,2.225,2.799,0.225,0.207,0.238,15,flat_geom_gist_idx,Index Scan using flat_geom_gist_idx,3828,3897,4740,0,0,0,0,True
1,B4,B4@G-2,B4,G-2,15,2.354,2.262,2.484,2.01,2.628,0.227,0.218,0.238,15,flat_geom_spgist_idx,Index Scan using flat_geom_spgist_idx,2134,3897,4740,0,0,0,0,True
1,B4,B4@G-3,B4,G-3,15,1.74,1.666,1.799,1.458,3.772,0.248,0.241,0.251,0,,Seq Scan on flat_geom_brin,39,3897,4740,1103,0,0,0,True
1,B4,B4@J-0g,B4,J-0g,15,26.417,24.339,27.429,23.425,29.9,0.043,0.037,0.047,0,,Seq Scan on jsonb_doc,981,3897,1,1103,0,0,0,True
1,B4,B4@J-1,B4,J-1,15,23.15,21.91,23.731,21.155,24.987,0.25,0.243,0.259,15,jsonb_doc_expr_geom_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx],1002,3897,4740,0,0,980,0,True
1,B4,B4@J-3,B4,J-3,15,2.633,2.462,2.73,2.445,2.803,0.217,0.21,0.237,15,jsonb_geom_gist_idx,Bitmap Heap Scan on jsonb_geom_gist [Bitmap Index Scan using jsonb_geom_gist_idx],900,3897,4740,0,0,878,0,True
1,B4,B4@J-3c,B4,J-3c,15,2.374,2.311,2.457,2.25,2.551,0.13,0.123,0.137,0,,Seq Scan on jsonb_geom,879,3897,4740,1103,0,0,0,True
1,B4,B4@N-0,B4,N-0,15,1.224,1.107,1.307,1.081,1.39,0.067,0.065,0.076,0,,Seq Scan on flat_numeric,31,3897,3347,1103,0,0,0,True
1,B4,B4@N-1,B4,N-1,15,1.275,1.186,1.307,1.107,1.509,0.099,0.094,0.104,0,,Seq Scan on flat_numeric_btree,31,3897,3347,1103,0,0,0,True
1,B5,B5@G-0,B5,G-0,15,1.235,1.195,1.271,1.081,1.304,0.061,0.059,0.062,0,,Seq Scan on flat_geom,39,0,1,5000,0,0,0,True
1,B5,B5@G-1,B5,G-1,15,0.038,0.036,0.04,0.032,0.041,0.098,0.094,0.098,15,flat_geom_gist_idx,Bitmap Heap Scan on flat_geom_gist [BitmapOr [Bitmap Index Scan using flat_geom_gist_idx; Bitmap Index Scan using flat_geom_gist_idx]],4,0,1,0,0,0,0,True
1,B5,B5@G-2,B5,G-2,15,0.067,0.057,0.069,0.054,0.089,0.098,0.093,0.104,15,flat_geom_spgist_idx,Bitmap Heap Scan on flat_geom_spgist [BitmapOr [Bitmap Index Scan using flat_geom_spgist_idx; Bitmap Index Scan using flat_geom_spgist_idx]],20,0,1,0,0,0,0,True
1,B5,B5@G-3,B5,G-3,15,1.504,1.42,1.554,1.205,1.6,0.122,0.097,0.134,15,flat_geom_brin_idx,Bitmap Heap Scan on flat_geom_brin [BitmapOr [Bitmap Index Scan using flat_geom_brin_idx; Bitmap Index Scan using flat_geom_brin_idx]],43,0,1,0,5000,0,39,True
1,B5,B5@J-0g,B5,J-0g,15,46.525,45.32,46.925,41.916,47.16,0.046,0.045,0.048,0,,Seq Scan on jsonb_doc,981,0,1,5000,0,0,0,True
1,B5,B5@J-1,B5,J-1,15,0.05,0.043,0.054,0.041,0.057,0.131,0.123,0.157,15,jsonb_doc_expr_geom_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [BitmapOr [Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx; Bitmap Index Scan using jsonb_doc_expr_geom_gist_idx]],4,0,1,0,0,0,0,True
1,B5,B5@J-3,B5,J-3,15,0.038,0.037,0.041,0.034,0.06,0.098,0.096,0.115,15,jsonb_geom_gist_idx,Bitmap Heap Scan on jsonb_geom_gist [BitmapOr [Bitmap Index Scan using jsonb_geom_gist_idx; Bitmap Index Scan using jsonb_geom_gist_idx]],4,0,1,0,0,0,0,True
1,B5,B5@J-3c,B5,J-3c,15,2.041,1.996,2.082,1.778,3.327,0.068,0.061,0.071,0,,Seq Scan on jsonb_geom,879,0,1,5000,0,0,0,True
1,B5,B5@N-0,B5,N-0,15,0.902,0.85,0.935,0.781,1.031,0.07,0.067,0.071,0,,Seq Scan on flat_numeric,31,0,16,5000,0,0,0,True
1,B5,B5@N-1,B5,N-1,15,0.912,0.889,0.925,0.803,1.009,0.104,0.1,0.115,0,,Seq Scan on flat_numeric_btree,31,0,16,5000,0,0,0,True
1,B6,B6@G-0,B6,G-0,15,0.754,0.662,0.779,0.643,0.858,0.05,0.044,0.05,0,,Seq Scan on flat_geom,39,1,1,4999,0,0,0,True
1,B6,B6@G-1,B6,G-1,15,0.024,0.021,0.025,0.019,0.039,0.079,0.074,0.091,15,flat_geom_gist_idx,Index Scan using flat_geom_gist_idx,3,1,1,0,0,0,0,True
1,B6,B6@G-2,B6,G-2,15,0.042,0.037,0.046,0.034,0.053,0.084,0.078,0.09,15,flat_geom_spgist_idx,Index Scan using flat_geom_spgist_idx,13,1,1,0,0,0,0,True
1,B6,B6@G-3,B6,G-3,15,0.797,0.734,0.839,0.653,0.941,0.089,0.072,0.099,0,,Seq Scan on flat_geom_brin,39,1,1,4999,0,0,0,True
1,B6,B6@J-0g,B6,J-0g,15,24.026,22.659,25.818,21.671,34.752,0.034,0.029,0.042,0,,Seq Scan on jsonb_doc,981,1,1,4999,0,0,0,True
1,B6,B6@J-1,B6,J-1,15,0.032,0.029,0.035,0.026,0.04,0.1,0.086,0.111,15,jsonb_doc_expr_geom_gist_idx,Index Scan using jsonb_doc_expr_geom_gist_idx,3,1,1,0,0,0,0,True
1,B6,B6@J-3,B6,J-3,15,0.024,0.022,0.025,0.02,0.027,0.079,0.07,0.082,15,jsonb_geom_gist_idx,Index Scan using jsonb_geom_gist_idx,3,1,1,0,0,0,0,True
1,B6,B6@J-3c,B6,J-3c,15,1.391,1.226,1.472,1.181,1.568,0.052,0.049,0.057,0,,Seq Scan on jsonb_geom,879,1,1,4999,0,0,0,True
1,B6,B6@N-0,B6,N-0,15,0.434,0.404,0.496,0.397,0.52,0.065,0.058,0.067,0,,Seq Scan on flat_numeric,31,1,13,4999,0,0,0,True
1,B6,B6@N-1,B6,N-1,15,0.018,0.016,0.019,0.015,0.02,0.093,0.083,0.099,15,flat_numeric_btree_lat_lon_idx,Bitmap Heap Scan on flat_numeric_btree [Bitmap Index Scan using flat_numeric_btree_lat_lon_idx],3,1,14,0,0,1,0,True
1,D1,D1@J-0y,D1,J-0y,15,33.305,32.254,34.686,30.188,38.788,0.041,0.036,0.045,0,,Seq Scan on jsonb_doc,981,410,1,4590,0,0,0,True
1,D1,D1@J-2,D1,J-2,15,2.803,2.657,2.897,2.474,3.02,0.541,0.495,0.561,15,jsonb_doc_expr_geog_gist_idx,Index Scan using jsonb_doc_expr_geog_gist_idx,395,410,1,0,0,0,0,True
1,D1,D1@J-4,D1,J-4,15,0.56,0.527,0.709,0.474,1.06,0.469,0.435,0.477,15,jsonb_geog_gist_idx,Index Scan using jsonb_geog_gist_idx,393,410,1,0,0,0,0,True
1,D1,D1@J-4c,D1,J-4c,15,8.519,8.267,9.069,8.146,12.981,0.034,0.032,0.037,0,,Seq Scan on jsonb_geog,879,410,1,4590,0,0,0,True
1,D1,D1@Y-0,D1,Y-0,15,7.745,7.609,8.287,7.497,8.505,0.034,0.032,0.036,0,,Seq Scan on flat_geog,39,410,1,4590,0,0,0,True
1,D1,D1@Y-1,D1,Y-1,15,0.438,0.412,0.452,0.383,0.52,0.48,0.448,0.511,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,149,410,1,0,0,0,0,True
1,D1,D1@Y-2,D1,Y-2,15,0.789,0.739,0.878,0.66,1.082,0.496,0.427,0.538,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,425,410,1,0,0,0,0,True
1,D1,MD1@G-0,MD1,G-0,15,1.147,1.067,1.171,1.042,1.233,0.084,0.072,0.096,0,,Seq Scan on flat_geom,39,410,2,4590,0,0,0,True
1,D1,MD1@G-1,MD1,G-1,15,0.597,0.54,0.634,0.522,0.693,0.098,0.079,0.114,15,flat_geom_gist_idx,Bitmap Heap Scan on flat_geom_gist [Bitmap Index Scan using flat_geom_gist_idx],42,410,2,0,0,39,0,True
1,D1-s,D1-s@J-0y,D1-s,J-0y,15,27.86,27.067,28.707,25.766,36.381,0.038,0.035,0.041,0,,Seq Scan on jsonb_doc,981,410,1,4590,0,0,0,True
1,D1-s,D1-s@J-2,D1-s,J-2,15,2.735,2.561,2.89,2.449,3.055,0.474,0.445,0.534,15,jsonb_doc_expr_geog_gist_idx,Index Scan using jsonb_doc_expr_geog_gist_idx,395,410,1,0,0,0,0,True
1,D1-s,D1-s@J-4,D1-s,J-4,15,0.535,0.491,0.578,0.439,0.666,0.434,0.403,0.469,15,jsonb_geog_gist_idx,Index Scan using jsonb_geog_gist_idx,393,410,1,0,0,0,0,True
1,D1-s,D1-s@J-4c,D1-s,J-4c,15,3.241,3.13,3.492,2.976,3.706,0.034,0.031,0.038,0,,Seq Scan on jsonb_geog,879,410,1,4590,0,0,0,True
1,D1-s,D1-s@Y-0,D1-s,Y-0,15,2.596,2.4,2.622,2.315,2.889,0.031,0.03,0.034,0,,Seq Scan on flat_geog,39,410,1,4590,0,0,0,True
1,D1-s,D1-s@Y-1,D1-s,Y-1,15,0.431,0.391,0.476,0.372,0.855,0.451,0.418,0.479,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,149,410,1,0,0,0,0,True
1,D1-s,D1-s@Y-2,D1-s,Y-2,15,0.787,0.736,0.869,0.669,1.077,0.453,0.431,0.519,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,425,410,1,0,0,0,0,True
1,D2,D2@J-0y,D2,J-0y,15,32.492,31.217,35.066,28.667,38.553,0.042,0.039,0.046,0,,Seq Scan on jsonb_doc,981,1101,1,3899,0,0,0,True
1,D2,D2@J-2,D2,J-2,15,6.95,6.78,7.473,6.583,11.232,0.53,0.484,0.59,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],710,1101,1,0,0,699,0,True
1,D2,D2@J-4,D2,J-4,15,1.487,1.44,1.783,1.305,1.958,0.494,0.448,0.571,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],682,1101,1,0,0,668,0,True
1,D2,D2@J-4c,D2,J-4c,15,7.867,7.576,8.272,7.352,10.95,0.035,0.034,0.039,0,,Seq Scan on jsonb_geog,879,1101,1,3899,0,0,0,True
1,D2,D2@Y-0,D2,Y-0,15,7.29,6.996,7.802,6.541,11.571,0.036,0.034,0.039,0,,Seq Scan on flat_geog,39,1101,1,3899,0,0,0,True
1,D2,D2@Y-1,D2,Y-1,15,1.146,1.032,1.223,0.978,1.761,0.503,0.462,0.531,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,418,1101,1,0,0,0,0,True
1,D2,D2@Y-2,D2,Y-2,15,1.519,1.424,1.543,1.309,1.862,0.506,0.463,0.549,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,951,1101,1,0,0,0,0,True
1,D2,MD2@G-0,MD2,G-0,15,2.111,1.906,2.329,1.802,4.152,0.094,0.075,0.116,0,,Seq Scan on flat_geom,39,1101,441,3899,0,0,0,True
1,D2,MD2@G-1,MD2,G-1,15,1.798,1.636,2.079,1.616,2.481,0.097,0.084,0.107,15,flat_geom_gist_idx,Index Scan using flat_geom_gist_idx,1080,1101,441,0,0,0,0,True
1,D2-s,D2-s@J-0y,D2-s,J-0y,15,27.026,26.418,29.215,26.216,36.777,0.041,0.038,0.049,0,,Seq Scan on jsonb_doc,981,1101,1,3899,0,0,0,True
1,D2-s,D2-s@J-2,D2-s,J-2,15,6.8,6.742,7.3,6.397,7.967,0.509,0.459,0.551,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],710,1101,1,0,0,699,0,True
1,D2-s,D2-s@J-4,D2-s,J-4,15,1.379,1.356,1.486,1.266,1.988,0.437,0.414,0.454,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],682,1101,1,0,0,668,0,True
1,D2-s,D2-s@J-4c,D2-s,J-4c,15,3.263,3.2,3.366,3.048,3.885,0.032,0.03,0.033,0,,Seq Scan on jsonb_geog,879,1101,1,3899,0,0,0,True
1,D2-s,D2-s@Y-0,D2-s,Y-0,15,2.532,2.497,2.751,2.417,3.981,0.032,0.03,0.035,0,,Seq Scan on flat_geog,39,1101,1,3899,0,0,0,True
1,D2-s,D2-s@Y-1,D2-s,Y-1,15,1.037,0.96,1.18,0.887,1.423,0.443,0.423,0.5,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,418,1101,1,0,0,0,0,True
1,D2-s,D2-s@Y-2,D2-s,Y-2,15,1.553,1.369,1.663,1.244,3.006,0.486,0.436,0.541,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,951,1101,1,0,0,0,0,True
1,D3,D3@J-0y,D3,J-0y,15,31.665,30.822,35.195,29.904,39.07,0.041,0.04,0.046,0,,Seq Scan on jsonb_doc,981,599,1,4401,0,0,0,True
1,D3,D3@J-2,D3,J-2,15,4.02,3.859,4.282,3.664,4.665,0.606,0.581,0.693,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],463,599,1,0,0,454,0,True
1,D3,D3@J-4,D3,J-4,15,0.911,0.824,0.955,0.778,1.134,0.554,0.533,0.621,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],463,599,1,0,0,454,0,True
1,D3,D3@J-4c,D3,J-4c,15,8.663,8.135,8.886,7.679,11.104,0.035,0.034,0.039,0,,Seq Scan on jsonb_geog,879,599,1,4401,0,0,0,True
1,D3,D3@Y-0,D3,Y-0,15,7.437,7.28,7.949,7.12,8.761,0.037,0.034,0.04,0,,Seq Scan on flat_geog,39,599,1,4401,0,0,0,True
1,D3,D3@Y-1,D3,Y-1,15,0.599,0.557,0.641,0.511,0.708,0.54,0.527,0.583,15,flat_geog_gist_idx,Bitmap Heap Scan on flat_geog_gist [Bitmap Index Scan using flat_geog_gist_idx],45,599,1,0,0,39,0,True
1,D3,D3@Y-2,D3,Y-2,15,0.93,0.867,1.002,0.763,1.58,0.561,0.533,0.65,15,flat_geog_spgist_idx,Bitmap Heap Scan on flat_geog_spgist [Bitmap Index Scan using flat_geog_spgist_idx],188,599,1,0,0,39,0,True
1,D3-s,D3-s@J-0y,D3-s,J-0y,15,28.743,27.938,29.651,25.998,41.997,0.038,0.036,0.041,0,,Seq Scan on jsonb_doc,981,599,1,4401,0,0,0,True
1,D3-s,D3-s@J-2,D3-s,J-2,15,4.099,3.994,4.234,3.537,5.721,0.635,0.586,0.661,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],463,599,1,0,0,454,0,True
1,D3-s,D3-s@J-4,D3-s,J-4,15,0.856,0.809,0.962,0.766,1.038,0.552,0.514,0.587,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],463,599,1,0,0,454,0,True
1,D3-s,D3-s@J-4c,D3-s,J-4c,15,3.344,3.234,3.558,3.114,3.897,0.033,0.032,0.036,0,,Seq Scan on jsonb_geog,879,599,1,4401,0,0,0,True
1,D3-s,D3-s@Y-0,D3-s,Y-0,15,2.741,2.584,2.939,2.376,3.568,0.034,0.03,0.037,0,,Seq Scan on flat_geog,39,599,1,4401,0,0,0,True
1,D3-s,D3-s@Y-1,D3-s,Y-1,15,0.618,0.584,0.637,0.518,0.846,0.548,0.5,0.565,15,flat_geog_gist_idx,Bitmap Heap Scan on flat_geog_gist [Bitmap Index Scan using flat_geog_gist_idx],45,599,1,0,0,39,0,True
1,D3-s,D3-s@Y-2,D3-s,Y-2,15,0.95,0.821,1.033,0.753,1.595,0.558,0.496,0.612,15,flat_geog_spgist_idx,Bitmap Heap Scan on flat_geog_spgist [Bitmap Index Scan using flat_geog_spgist_idx],188,599,1,0,0,39,0,True
1,D4,D4@J-0y,D4,J-0y,15,30.961,30.107,32.892,28.371,43.597,0.043,0.04,0.049,0,,Seq Scan on jsonb_doc,981,2059,1,2941,0,0,0,True
1,D4,D4@J-2,D4,J-2,15,13.222,12.322,14.085,12.013,16.045,1.304,1.137,1.349,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],936,2059,1,0,0,914,0,True
1,D4,D4@J-4,D4,J-4,15,2.556,2.29,2.721,2.193,3.127,1.146,1.081,1.322,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],852,2059,1,0,0,826,0,True
1,D4,D4@J-4c,D4,J-4c,15,6.876,6.314,7.311,6.208,9.631,0.037,0.036,0.043,0,,Seq Scan on jsonb_geog,879,2059,1,2941,0,0,0,True
1,D4,D4@Y-0,D4,Y-0,15,5.657,5.444,6.251,5.391,7.015,0.037,0.033,0.047,0,,Seq Scan on flat_geog,39,2059,1,2941,0,0,0,True
1,D4,D4@Y-1,D4,Y-1,15,1.847,1.807,2.023,1.714,2.244,1.157,1.059,1.2,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,685,2059,1,0,0,0,0,True
1,D4,D4@Y-2,D4,Y-2,15,2.259,2.177,2.41,2.066,2.741,1.196,1.089,1.227,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,1552,2059,1,0,0,0,0,True
1,D4-s,D4-s@J-0y,D4-s,J-0y,15,27.135,26.257,28.683,25.539,38.884,0.043,0.038,0.049,0,,Seq Scan on jsonb_doc,981,2059,1,2941,0,0,0,True
1,D4-s,D4-s@J-2,D4-s,J-2,15,13.641,12.462,13.966,12.242,24.286,1.261,1.219,1.406,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],936,2059,1,0,0,914,0,True
1,D4-s,D4-s@J-4,D4-s,J-4,15,2.361,2.271,2.467,2.191,2.541,1.16,1.071,1.201,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],852,2059,1,0,0,826,0,True
1,D4-s,D4-s@J-4c,D4-s,J-4c,15,3.583,3.425,3.704,3.253,4.358,0.036,0.035,0.039,0,,Seq Scan on jsonb_geog,879,2059,1,2941,0,0,0,True
1,D4-s,D4-s@Y-0,D4-s,Y-0,15,2.736,2.609,2.843,2.528,4.303,0.033,0.032,0.035,0,,Seq Scan on flat_geog,39,2059,1,2941,0,0,0,True
1,D4-s,D4-s@Y-1,D4-s,Y-1,15,1.937,1.857,2.124,1.778,2.696,1.129,1.079,1.292,15,flat_geog_gist_idx,Index Scan using flat_geog_gist_idx,685,2059,1,0,0,0,0,True
1,D4-s,D4-s@Y-2,D4-s,Y-2,15,2.282,2.154,2.632,2.012,4.697,1.211,1.137,1.336,15,flat_geog_spgist_idx,Index Scan using flat_geog_spgist_idx,1552,2059,1,0,0,0,0,True
1,D5,D5@J-0y,D5,J-0y,15,33.55,32.477,35.936,31.937,47.058,0.038,0.037,0.044,0,,Seq Scan on jsonb_doc,981,262,1,4738,0,0,0,True
1,D5,D5@J-2,D5,J-2,15,4.736,4.449,5.353,4.165,5.844,1.058,1.011,1.1,15,jsonb_doc_expr_geog_gist_idx,Bitmap Heap Scan on jsonb_doc_expr [Bitmap Index Scan using jsonb_doc_expr_geog_gist_idx],455,262,1,309,0,449,0,True
1,D5,D5@J-4,D5,J-4,15,1.625,1.584,1.835,1.483,2.053,0.949,0.917,0.99,15,jsonb_geog_gist_idx,Bitmap Heap Scan on jsonb_geog_gist [Bitmap Index Scan using jsonb_geog_gist_idx],439,262,1,309,0,432,0,True
