comparison,statement,pattern,index,a,b,a_median_ms,a_p25_ms,a_p75_ms,b_median_ms,b_p25_ms,b_p75_ms,b_over_a,a_median_ms_batch2,b_median_ms_batch2,result,relative_difference,iqr_overlap,below_0_1_ms,batch2_faster,batch2_measurable,planning_result,a_plan_median_ms,b_plan_median_ms,a_plan_shape,b_plan_shape,a_indexes_used,b_indexes_used,a_shared_hit,b_shared_hit,a_scan_est_rows,b_scan_est_rows,a_actual_rows,b_actual_rows,a_exact_heap_blocks,b_exact_heap_blocks,type,step6c_baseline_median_ms
head-to-head I-1 (identical btree expression indexes),Q10,integer equality,I-1c,json,jsonb,0.036,0.029,0.037,0.029,0.029,0.037,0.8056,0.03,0.031,no measurable difference,0.194,True,True,json,False,no measurable difference,0.052,0.042,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,T_i1c_status_code,32,32,30,30,30,30,30,30,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q10,integer equality,I-1c,json,jsonb,0.03,0.03,0.03,0.03,0.03,0.031,1.0,0.031,0.032,no measurable difference,0.0,True,True,json,False,no measurable difference,0.042,0.042,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,T_i1c_status_code,32,32,30,30,30,30,30,30,,
index effect on json: I-0 vs I-1,Q10,integer equality,I-1c,I-0,I-1,103.718,99.914,113.68,0.036,0.029,0.037,0.0003,103.713,0.03,measurable: I-1 faster,1.0,False,True,I-1,True,no measurable difference,0.042,0.052,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],-,T_i1c_status_code,1250,32,25,30,30,30,None,30,json,110.982
index effect on jsonb: I-0 vs I-1,Q10,integer equality,I-1c,I-0,I-1,11.018,10.803,11.335,0.029,0.029,0.037,0.0026,10.934,0.031,measurable: I-1 faster,0.997,False,True,I-1,True,no measurable difference,0.043,0.042,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],-,T_i1c_status_code,981,32,25,30,30,30,None,30,jsonb,11.341
"head-to-head I-0 (control, no index)",Q11a,"numeric range, medium",I-1d,json,jsonb,117.761,113.225,125.418,13.639,13.304,14.014,0.1158,122.133,13.381,measurable: jsonb faster,0.884,False,False,jsonb,True,no measurable difference,0.046,0.045,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,422,422,None,None,,
head-to-head I-1 (identical btree expression indexes),Q11a,"numeric range, medium",I-1d,json,jsonb,0.21,0.208,0.216,0.21,0.203,0.213,1.0,0.228,0.226,no measurable difference,0.0,True,False,jsonb,False,no measurable difference,0.066,0.066,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,T_i1d_latitude_degrees,365,340,406,406,422,422,362,337,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q11a,"numeric range, medium",I-1d,json,jsonb,0.243,0.225,0.375,0.216,0.214,0.236,0.8889,0.243,0.236,no measurable difference,0.111,True,False,jsonb,False,no measurable difference,0.077,0.08,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,T_i1d_latitude_degrees,365,340,406,406,422,422,362,337,,
index effect on json: I-0 vs I-1,Q11a,"numeric range, medium",I-1d,I-0,I-1,117.761,113.225,125.418,0.21,0.208,0.216,0.0018,122.133,0.228,measurable: I-1 faster,0.998,False,False,I-1,True,measurable: I-0 faster,0.046,0.066,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],-,T_i1d_latitude_degrees,1250,365,25,406,422,422,None,362,json,119.987
index effect on jsonb: I-0 vs I-1,Q11a,"numeric range, medium",I-1d,I-0,I-1,13.639,13.304,14.014,0.21,0.203,0.213,0.0154,13.381,0.226,measurable: I-1 faster,0.985,False,False,I-1,True,measurable: I-0 faster,0.045,0.066,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],-,T_i1d_latitude_degrees,981,340,25,406,422,422,None,337,jsonb,13.669
"head-to-head I-0 (control, no index)",Q11b,"numeric range, broad",I-1d,json,jsonb,172.871,169.493,186.328,19.332,18.751,19.508,0.1118,171.537,19.695,measurable: jsonb faster,0.888,False,False,jsonb,True,no measurable difference,0.039,0.046,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,3064,3064,None,None,,
head-to-head I-1 (identical btree expression indexes),Q11b,"numeric range, broad",I-1d,json,jsonb,184.045,175.327,194.592,21.574,20.021,22.948,0.1172,178.398,20.664,measurable: jsonb faster,0.883,False,False,jsonb,True,no measurable difference,0.116,0.114,Seq Scan on T,Seq Scan on T,-,-,1250,981,3086,3086,3064,3064,None,None,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q11b,"numeric range, broad",I-1d,json,jsonb,1.236,1.182,1.256,1.137,1.095,1.172,0.9199,1.133,0.989,no measurable difference,0.08,False,False,jsonb,False,no measurable difference,0.082,0.081,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1d_latitude_degrees],T_i1d_latitude_degrees,T_i1d_latitude_degrees,1233,980,3086,3086,3064,3064,1222,969,,
index effect on json: I-0 vs I-1,Q11b,"numeric range, broad",I-1d,I-0,I-1,172.871,169.493,186.328,184.045,175.327,194.592,1.0646,171.537,178.398,no measurable difference,0.061,True,False,I-0,False,measurable: I-0 faster,0.039,0.116,Seq Scan on T,Seq Scan on T,-,-,1250,1250,25,3086,3064,3064,None,None,json,184.372
index effect on jsonb: I-0 vs I-1,Q11b,"numeric range, broad",I-1d,I-0,I-1,19.332,18.751,19.508,21.574,20.021,22.948,1.116,19.695,20.664,measurable: I-0 faster,0.104,False,False,I-0,False,measurable: I-0 faster,0.046,0.114,Seq Scan on T,Seq Scan on T,-,-,981,981,25,3086,3064,3064,None,None,jsonb,20.101
"head-to-head I-0 (control, no index)",Q12a,"time window, 1 day (string range)",I-1e,json,jsonb,153.864,143.743,160.29,14.685,14.508,15.053,0.0954,146.686,15.256,measurable: jsonb faster,0.905,False,False,jsonb,True,no measurable difference,0.045,0.045,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,13,13,None,None,,
head-to-head I-1 (identical btree expression indexes),Q12a,"time window, 1 day (string range)",I-1e,json,jsonb,0.016,0.016,0.017,0.017,0.016,0.017,1.0625,0.019,0.019,no measurable difference,0.059,True,True,tie,False,no measurable difference,0.053,0.053,Index Scan using T_i1e_event_timestamp_utc,Index Scan using T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,15,15,1,1,13,13,None,None,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q12a,"time window, 1 day (string range)",I-1e,json,jsonb,0.019,0.019,0.019,0.019,0.019,0.019,1.0,0.019,0.019,no measurable difference,0.0,True,True,tie,False,no measurable difference,0.062,0.062,Index Scan using T_i1e_event_timestamp_utc,Index Scan using T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,15,15,1,1,13,13,None,None,,
index effect on json: I-0 vs I-1,Q12a,"time window, 1 day (string range)",I-1e,I-0,I-1,153.864,143.743,160.29,0.016,0.016,0.017,0.0001,146.686,0.019,measurable: I-1 faster,1.0,False,True,I-1,True,measurable: I-0 faster,0.045,0.053,Seq Scan on T,Index Scan using T_i1e_event_timestamp_utc,-,T_i1e_event_timestamp_utc,1250,15,25,1,13,13,None,None,json,155.207
index effect on jsonb: I-0 vs I-1,Q12a,"time window, 1 day (string range)",I-1e,I-0,I-1,14.685,14.508,15.053,0.017,0.016,0.017,0.0012,15.256,0.019,measurable: I-1 faster,0.999,False,True,I-1,True,measurable: I-0 faster,0.045,0.053,Seq Scan on T,Index Scan using T_i1e_event_timestamp_utc,-,T_i1e_event_timestamp_utc,981,15,25,1,13,13,None,None,jsonb,15.66
"head-to-head I-0 (control, no index)",Q12b,"time window, 1 week (string range)",I-1e,json,jsonb,149.098,142.855,155.68,14.77,14.46,16.287,0.0991,149.318,15.045,measurable: jsonb faster,0.901,False,False,jsonb,True,no measurable difference,0.043,0.041,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,108,108,None,None,,
head-to-head I-1 (identical btree expression indexes),Q12b,"time window, 1 week (string range)",I-1e,json,jsonb,0.066,0.065,0.067,0.067,0.066,0.069,1.0152,0.071,0.072,no measurable difference,0.015,True,True,json,False,no measurable difference,0.057,0.056,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,105,105,88,88,108,108,102,102,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q12b,"time window, 1 week (string range)",I-1e,json,jsonb,0.076,0.075,0.078,0.076,0.076,0.077,1.0,0.071,0.074,no measurable difference,0.0,True,True,json,False,no measurable difference,0.064,0.064,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,105,105,88,88,108,108,102,102,,
index effect on json: I-0 vs I-1,Q12b,"time window, 1 week (string range)",I-1e,I-0,I-1,149.098,142.855,155.68,0.066,0.065,0.067,0.0004,149.318,0.071,measurable: I-1 faster,1.0,False,True,I-1,True,measurable: I-0 faster,0.043,0.057,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],-,T_i1e_event_timestamp_utc,1250,105,25,88,108,108,None,102,json,154.69
index effect on jsonb: I-0 vs I-1,Q12b,"time window, 1 week (string range)",I-1e,I-0,I-1,14.77,14.46,16.287,0.067,0.066,0.069,0.0045,15.045,0.072,measurable: I-1 faster,0.995,False,True,I-1,True,measurable: I-0 faster,0.041,0.056,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],-,T_i1e_event_timestamp_utc,981,105,25,88,108,108,None,102,jsonb,15.28
"head-to-head I-0 (control, no index)",Q12c,"time window, 1 month (string range)",I-1e,json,jsonb,151.959,142.172,159.356,14.897,14.739,15.332,0.098,147.424,15.268,measurable: jsonb faster,0.902,False,False,jsonb,True,no measurable difference,0.04,0.042,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,498,498,None,None,,
head-to-head I-1 (identical btree expression indexes),Q12c,"time window, 1 month (string range)",I-1e,json,jsonb,0.237,0.229,0.244,0.226,0.225,0.236,0.9536,0.287,0.281,no measurable difference,0.046,True,False,jsonb,False,no measurable difference,0.059,0.058,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,424,408,500,500,498,498,419,403,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q12c,"time window, 1 month (string range)",I-1e,json,jsonb,0.275,0.264,0.292,0.276,0.262,0.281,1.0036,0.259,0.249,no measurable difference,0.004,True,False,jsonb,False,no measurable difference,0.067,0.067,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],T_i1e_event_timestamp_utc,T_i1e_event_timestamp_utc,424,408,500,500,498,498,419,403,,
index effect on json: I-0 vs I-1,Q12c,"time window, 1 month (string range)",I-1e,I-0,I-1,151.959,142.172,159.356,0.237,0.229,0.244,0.0016,147.424,0.287,measurable: I-1 faster,0.998,False,False,I-1,True,measurable: I-0 faster,0.04,0.059,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],-,T_i1e_event_timestamp_utc,1250,424,25,500,498,498,None,419,json,156.042
index effect on jsonb: I-0 vs I-1,Q12c,"time window, 1 month (string range)",I-1e,I-0,I-1,14.897,14.739,15.332,0.226,0.225,0.236,0.0152,15.268,0.281,measurable: I-1 faster,0.985,False,False,I-1,True,measurable: I-0 faster,0.042,0.058,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1e_event_timestamp_utc],-,T_i1e_event_timestamp_utc,981,408,25,500,498,498,None,403,jsonb,14.975
"head-to-head I-0 (control, no index)",Q16,conjunction,I-1c,json,jsonb,78.578,75.423,81.293,12.029,11.548,13.04,0.1531,76.343,11.832,measurable: jsonb faster,0.847,False,False,jsonb,True,no measurable difference,0.042,0.041,Seq Scan on T,Seq Scan on T,-,-,1250,981,1,1,78,78,None,None,,
head-to-head I-1 (identical btree expression indexes),Q16,conjunction,I-1c,json,jsonb,5.735,5.576,5.882,1.42,1.344,1.471,0.2476,5.733,1.476,measurable: jsonb faster,0.752,False,False,jsonb,True,no measurable difference,0.055,0.053,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,T_i1c_status_code,429,406,2,2,78,78,427,404,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q16,conjunction,I-1c,json,jsonb,5.608,5.391,5.746,1.533,1.483,1.644,0.2734,6.002,1.472,measurable: jsonb faster,0.727,False,False,jsonb,True,no measurable difference,0.055,0.059,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],T_i1c_status_code,T_i1c_status_code,429,406,2,2,78,78,427,404,,
index effect on json: I-0 vs I-1,Q16,conjunction,I-1c,I-0,I-1,78.578,75.423,81.293,5.735,5.576,5.882,0.073,76.343,5.733,measurable: I-1 faster,0.927,False,False,I-1,True,measurable: I-0 faster,0.042,0.055,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],-,T_i1c_status_code,1250,429,1,2,78,78,None,427,json,76.968
index effect on jsonb: I-0 vs I-1,Q16,conjunction,I-1c,I-0,I-1,12.029,11.548,13.04,1.42,1.344,1.471,0.118,11.832,1.476,measurable: I-1 faster,0.882,False,False,I-1,True,measurable: I-0 faster,0.041,0.053,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i1c_status_code],-,T_i1c_status_code,981,406,1,2,78,78,None,404,jsonb,12.145
"head-to-head I-0 (control, no index)",Q17,group by nested text,I-1b,json,jsonb,101.416,100.556,105.9,12.035,11.391,13.46,0.1187,101.654,12.227,measurable: jsonb faster,0.881,False,False,jsonb,True,no measurable difference,0.044,0.05,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],-,-,1250,981,5000,5000,8,8,None,None,,
head-to-head I-1 (identical btree expression indexes),Q17,group by nested text,I-1b,json,jsonb,104.302,102.694,106.341,11.597,11.357,12.264,0.1112,114.294,13.771,measurable: jsonb faster,0.889,False,False,jsonb,True,no measurable difference,0.082,0.081,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],-,-,1250,981,5000,5000,8,8,None,None,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q17,group by nested text,I-1b,json,jsonb,112.836,105.657,124.662,13.466,12.577,14.237,0.1193,113.025,13.894,measurable: jsonb faster,0.881,False,False,jsonb,True,no measurable difference,0.09,0.083,Aggregate [Index Scan using T_i1b_entity_type_code],Aggregate [Index Scan using T_i1b_entity_type_code],T_i1b_entity_type_code,T_i1b_entity_type_code,3755,3446,5000,5000,8,8,None,None,,
index effect on json: I-0 vs I-1,Q17,group by nested text,I-1b,I-0,I-1,101.416,100.556,105.9,104.302,102.694,106.341,1.0285,101.654,114.294,no measurable difference,0.028,True,False,I-0,False,measurable: I-0 faster,0.044,0.082,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],-,-,1250,1250,5000,5000,8,8,None,None,json,105.029
index effect on jsonb: I-0 vs I-1,Q17,group by nested text,I-1b,I-0,I-1,12.035,11.391,13.46,11.597,11.357,12.264,0.9636,12.227,13.771,no measurable difference,0.036,True,False,I-0,False,measurable: I-0 faster,0.05,0.081,Aggregate [Seq Scan on T],Aggregate [Seq Scan on T],-,-,981,981,5000,5000,8,8,None,None,jsonb,11.596
"head-to-head I-0 (control, no index)",Q09,"equality, broad",none (control),json,jsonb,56.319,55.414,59.882,10.837,10.278,11.131,0.1924,57.655,10.84,measurable: jsonb faster,0.808,False,False,jsonb,True,no measurable difference,0.039,0.033,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,1528,1528,None,None,,
head-to-head I-1 (identical btree expression indexes),Q09,"equality, broad",none (control),json,jsonb,60.333,59.202,67.129,12.51,12.149,13.054,0.2073,63.17,12.467,measurable: jsonb faster,0.793,False,False,jsonb,True,no measurable difference,0.067,0.065,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,1528,1528,None,None,,
"head-to-head I-1, enable_seqscan off (diagnostic)",Q09,"equality, broad",none (control),json,jsonb,62.761,59.307,67.936,12.616,12.098,13.66,0.201,85.327,14.577,measurable: jsonb faster,0.799,False,False,jsonb,True,no measurable difference,0.073,0.07,Seq Scan on T,Seq Scan on T,-,-,1250,981,25,25,1528,1528,None,None,,
index effect on json: I-0 vs I-1,Q09,"equality, broad",none (control),I-0,I-1,56.319,55.414,59.882,60.333,59.202,67.129,1.0713,57.655,63.17,no measurable difference,0.067,True,False,I-0,False,measurable: I-0 faster,0.039,0.067,Seq Scan on T,Seq Scan on T,-,-,1250,1250,25,25,1528,1528,None,None,json,57.653
index effect on jsonb: I-0 vs I-1,Q09,"equality, broad",none (control),I-0,I-1,10.837,10.278,11.131,12.51,12.149,13.054,1.1544,10.84,12.467,measurable: I-0 faster,0.134,False,False,I-0,True,measurable: I-0 faster,0.033,0.065,Seq Scan on T,Seq Scan on T,-,-,981,981,25,25,1528,1528,None,None,jsonb,10.671
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C1,containment: record_validity BROKEN,GIN,I-0,I-2,10.23,9.948,10.622,0.112,0.1,0.185,0.0109,11.161,0.101,measurable: I-2 faster,0.989,False,False,I-2,True,measurable: I-0 faster,0.023,0.054,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,24,50,50,12,12,None,12,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C1,containment: record_validity BROKEN,GIN,I-0,I-3,10.23,9.948,10.622,0.027,0.027,0.032,0.0026,11.161,0.035,measurable: I-3 faster,0.997,False,True,I-3,True,measurable: I-0 faster,0.023,0.048,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,16,50,50,12,12,None,12,,
capability jsonb: I-2 vs I-3,C1,containment: record_validity BROKEN,GIN,I-2,I-3,0.112,0.1,0.185,0.027,0.027,0.032,0.2411,0.101,0.035,measurable: I-3 faster,0.759,False,True,I-3,True,no measurable difference,0.054,0.048,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,24,16,50,50,12,12,12,12,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C1,containment: record_validity BROKEN,GIN,I-2,I-3,0.114,0.106,0.19,0.03,0.029,0.043,0.2632,0.089,0.028,measurable: I-3 faster,0.737,False,True,I-3,True,no measurable difference,0.064,0.049,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,24,16,50,50,12,12,12,12,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C1b,containment: status code 404 (number),GIN,I-0,I-2,11.042,10.743,12.025,0.273,0.262,0.407,0.0247,11.396,0.2,measurable: I-2 faster,0.975,False,False,I-2,True,measurable: I-0 faster,0.024,0.062,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,47,50,50,30,30,None,31,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C1b,containment: status code 404 (number),GIN,I-0,I-3,11.042,10.743,12.025,0.125,0.122,0.176,0.0113,11.396,0.135,measurable: I-3 faster,0.989,False,False,I-3,True,measurable: I-0 faster,0.024,0.051,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,34,50,50,30,30,None,30,,
capability jsonb: I-2 vs I-3,C1b,containment: status code 404 (number),GIN,I-2,I-3,0.273,0.262,0.407,0.125,0.122,0.176,0.4579,0.2,0.135,measurable: I-3 faster,0.542,False,False,I-3,True,no measurable difference,0.062,0.051,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,47,34,50,50,30,30,31,30,,
"capability jsonb: I-2 vs I-3, enable_seqscan off (diagnostic)",C1b,containment: status code 404 (number),GIN,I-2,I-3,0.367,0.289,0.443,0.105,0.105,0.105,0.2861,0.189,0.106,measurable: I-3 faster,0.714,False,False,I-3,True,measurable: I-3 faster,0.091,0.043,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],T_i2_gin_jsonb_ops,T_i3_gin_jsonb_path_ops,47,34,50,50,30,30,31,30,,
capability jsonb: I-0 vs I-2 (GIN jsonb_ops),C1c,containment: diagnostics array contains truncated,GIN,I-0,I-2,10.616,10.418,11.674,0.093,0.093,0.096,0.0088,11.139,0.075,measurable: I-2 faster,0.991,False,True,I-2,True,measurable: I-0 faster,0.024,0.055,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i2_gin_jsonb_ops],-,T_i2_gin_jsonb_ops,981,15,50,50,3,3,None,3,,
capability jsonb: I-0 vs I-3 (GIN jsonb_path_ops),C1c,containment: diagnostics array contains truncated,GIN,I-0,I-3,10.616,10.418,11.674,0.03,0.026,0.04,0.0028,11.139,0.021,measurable: I-3 faster,0.997,False,True,I-3,True,measurable: I-0 faster,0.024,0.062,Seq Scan on T,Bitmap Heap Scan on T [Bitmap Index Scan using T_i3_gin_jsonb_path_ops],-,T_i3_gin_jsonb_path_ops,981,7,50,50,3,3,None,3,,
