batch,query,type,runs,exec_min,exec_p25,exec_median,exec_p75,exec_max,plan_min,plan_p25,plan_median,plan_p75,plan_max,shared_hit_blocks,shared_read_blocks,serialization_shared_hit_blocks,planning_shared_hit_blocks,planning_memory_used_kb,output_kb,plan_shape,top_plan_rows,top_actual_rows,scan_plan_rows,scan_actual_rows,scan_rows_removed_by_filter,temp_written_blocks,jit_present,settings,detail_execution_ms,detail_serialization_ms
1,Q06,json,15,7088.63,7280.983,7413.235,7906.262,9112.894,0.133,0.146,0.152,0.158,0.184,1250,0,0,0,72,3796,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",7304.76,27.34
1,Q06,jsonb,15,574.03,578.843,592.191,623.463,763.257,0.133,0.143,0.151,0.158,0.166,981,0,0,0,72,3796,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",590.979,21.295
1,Q07,json,15,54.615,55.694,56.655,60.711,80.261,0.024,0.026,0.028,0.04,0.047,1250,0,0,0,9,1,Seq Scan on T,25,12,25,12,4988,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",57.044,0.004
1,Q07,jsonb,15,10.04,10.167,10.253,10.489,12.319,0.023,0.024,0.03,0.038,0.046,981,0,0,0,9,1,Seq Scan on T,25,12,25,12,4988,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.746,0.002
1,Q08,json,15,99.684,102.436,104.752,106.343,116.486,0.025,0.027,0.031,0.041,0.046,1250,0,0,0,9,3,Seq Scan on T,25,225,25,225,4775,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",104.977,0.03
1,Q08,jsonb,15,10.251,10.568,10.7,11.32,12.374,0.022,0.023,0.043,0.044,0.06,981,0,0,0,9,3,Seq Scan on T,25,225,25,225,4775,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.684,0.017
1,Q09,json,15,55.576,56.925,57.653,59.753,75.647,0.025,0.027,0.03,0.041,0.073,1250,0,0,0,9,15,Seq Scan on T,25,1528,25,1528,3472,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",58.446,0.118
1,Q09,jsonb,15,9.991,10.434,10.671,10.878,11.392,0.022,0.023,0.031,0.034,0.047,981,0,0,0,9,15,Seq Scan on T,25,1528,25,1528,3472,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.771,0.115
1,Q10,json,15,99.167,105.504,110.982,122.113,205.049,0.026,0.031,0.042,0.047,0.052,1250,0,0,0,9,1,Seq Scan on T,25,30,25,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",116.486,0.008
1,Q10,jsonb,15,10.563,10.963,11.341,12.475,16.822,0.024,0.028,0.044,0.047,0.051,981,0,0,0,9,1,Seq Scan on T,25,30,25,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",10.987,0.003
1,Q11a,json,15,110.664,117.569,119.987,132.124,135.203,0.032,0.036,0.046,0.051,0.063,1250,0,0,0,11,5,Seq Scan on T,25,422,25,422,4578,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",119.515,0.068
1,Q11a,jsonb,15,12.84,13.433,13.669,13.868,19.537,0.028,0.029,0.045,0.05,0.053,981,0,0,0,11,5,Seq Scan on T,25,422,25,422,4578,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.213,0.028
1,Q11b,json,15,170.83,174.735,184.372,187.566,199.833,0.035,0.037,0.049,0.054,0.055,1250,0,0,0,11,30,Seq Scan on T,25,3064,25,3064,1936,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",199.698,0.531
1,Q11b,jsonb,15,19.188,19.649,20.101,21.969,26.404,0.029,0.034,0.052,0.056,0.076,981,0,0,0,11,30,Seq Scan on T,25,3064,25,3064,1936,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",24.627,0.271
1,Q12a,json,15,146.987,150.885,155.207,159.728,187.639,0.032,0.036,0.046,0.048,0.085,1250,0,0,0,10,1,Seq Scan on T,25,13,25,13,4987,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",163.037,0.01
1,Q12a,jsonb,15,14.713,14.982,15.66,16.372,24.056,0.026,0.036,0.047,0.049,0.068,981,0,0,0,10,1,Seq Scan on T,25,13,25,13,4987,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.453,0.002
1,Q12b,json,15,145.475,149.117,154.69,157.772,176.599,0.028,0.033,0.037,0.048,0.052,1250,0,0,0,10,2,Seq Scan on T,25,108,25,108,4892,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",150.019,0.024
1,Q12b,jsonb,15,14.326,14.984,15.28,16.731,18.591,0.027,0.035,0.045,0.049,0.058,981,0,0,0,10,2,Seq Scan on T,25,108,25,108,4892,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",15.577,0.01
1,Q12c,json,15,144.925,148.874,156.042,166.1,173.351,0.027,0.03,0.043,0.045,0.099,1250,0,0,0,10,5,Seq Scan on T,25,498,25,498,4502,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",150.251,0.077
1,Q12c,jsonb,15,14.496,14.73,14.975,15.34,17.415,0.027,0.03,0.04,0.048,0.053,981,0,0,0,10,5,Seq Scan on T,25,498,25,498,4502,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",15.493,0.038
1,Q13a,json,15,98.939,101.007,106.807,109.243,121.594,0.026,0.029,0.039,0.043,0.052,1250,0,0,0,8,6,Seq Scan on T,8,545,8,545,4455,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",107.658,0.055
1,Q13a,jsonb,15,10.993,11.305,11.548,12.336,12.983,0.024,0.029,0.039,0.047,0.103,981,0,0,0,8,6,Seq Scan on T,8,545,8,545,4455,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.438,0.037
1,Q13b,json,15,101.274,103.949,104.854,107.177,109.059,0.027,0.033,0.042,0.046,0.065,1250,0,0,0,8,2,Seq Scan on T,25,173,25,173,4827,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",102.706,0.023
1,Q13b,jsonb,15,10.718,10.914,11.415,13.261,15.33,0.022,0.026,0.037,0.044,0.047,981,0,0,0,8,2,Seq Scan on T,25,173,25,173,4827,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.409,0.015
1,Q14,json,15,61.364,63.26,64.069,66.275,75.758,0.038,0.039,0.044,0.061,0.061,1250,0,0,0,25,1,Seq Scan on T [Function Scan <type>_array_elements_text],2500,3,2500,3,4997,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",64.457,0.002
1,Q14,jsonb,15,12.472,12.962,13.242,13.519,15.141,0.032,0.036,0.046,0.06,0.064,981,0,0,0,25,1,Seq Scan on T [Function Scan <type>_array_elements_text],2500,3,2500,3,4997,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.684,0.001
1,Q15,json,15,98.726,105.584,106.269,112.348,119.294,0.023,0.029,0.036,0.04,0.049,1250,0,0,0,8,29,Seq Scan on T,4975,2941,4975,2941,2059,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",105.717,0.37
1,Q15,jsonb,15,10.516,11.388,11.869,13.291,20.255,0.021,0.023,0.039,0.041,0.045,981,0,0,0,8,29,Seq Scan on T,4975,2941,4975,2941,2059,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.665,0.244
1,Q16,json,15,71.752,75.502,76.968,82.114,95.562,0.029,0.031,0.037,0.045,0.052,1250,0,0,0,11,1,Seq Scan on T,1,78,1,78,4922,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",87.777,0.016
1,Q16,jsonb,15,11.29,11.845,12.145,12.551,17.65,0.028,0.031,0.043,0.047,0.054,981,0,0,0,11,1,Seq Scan on T,1,78,1,78,4922,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.847,0.008
1,Q17,json,15,98.034,102.136,105.029,117.41,122.983,0.03,0.034,0.038,0.052,0.059,1250,0,0,0,13,1,Aggregate [Seq Scan on T],200,8,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",109.916,0.004
1,Q17,jsonb,15,11.201,11.385,11.596,12.499,13.109,0.028,0.033,0.051,0.057,0.069,981,0,0,0,13,1,Aggregate [Seq Scan on T],5000,8,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.951,0.004
1,Q18,json,15,203.814,213.23,220.851,226.248,241.008,0.036,0.044,0.051,0.06,0.077,1250,0,0,0,15,1,Aggregate [Seq Scan on T],200,32,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",206.584,0.008
1,Q18,jsonb,15,19.463,19.882,20.256,21.548,23.466,0.034,0.038,0.055,0.061,0.062,981,0,0,0,15,1,Aggregate [Seq Scan on T],5000,32,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",22.107,0.007
1,Q19,json,15,362.21,381.609,393.824,400.682,412.794,0.044,0.051,0.057,0.066,0.072,1250,0,0,0,20,1,Aggregate [Seq Scan on T],1,1,25,4249,751,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",494.739,0.005
1,Q19,jsonb,15,35.665,37.487,39.501,42.049,55.218,0.048,0.057,0.064,0.068,0.081,981,0,0,0,20,1,Aggregate [Seq Scan on T],1,1,25,4249,751,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",66.0,0.004
1,Q20,json,15,117.392,123.956,126.457,137.051,147.379,0.026,0.03,0.04,0.045,0.087,1250,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",145.74,0.981
1,Q20,jsonb,15,11.495,11.949,12.837,13.481,16.242,0.02,0.029,0.038,0.042,0.114,981,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",16.614,0.715
1,Q21,json,15,121.819,141.116,160.325,175.472,212.006,0.03,0.045,0.047,0.053,0.178,1250,0,0,0,8,1,Seq Scan on T,2500,30,2500,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",122.462,0.013
1,Q21,jsonb,15,11.809,12.512,14.897,17.856,21.367,0.03,0.04,0.051,0.067,0.187,981,0,0,0,8,1,Seq Scan on T,2500,30,2500,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.914,0.005
2,Q01,json,15,0.011,0.011,0.011,0.011,0.014,0.022,0.023,0.023,0.024,0.028,3,0,0,0,10,2,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.011,0.001
2,Q01,jsonb,15,0.026,0.027,0.028,0.03,0.032,0.022,0.023,0.023,0.024,0.027,3,0,0,0,10,2,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.028,0.018
2,Q02,json,15,2.815,2.922,3.18,3.34,5.11,0.021,0.026,0.038,0.04,0.123,1250,0,0,0,7,8249,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",3.535,1.969
2,Q02,jsonb,15,67.502,69.965,71.79,72.588,75.723,0.021,0.024,0.037,0.039,0.074,981,0,0,0,7,8986,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",78.121,76.375
2,Q03,json,15,0.037,0.038,0.04,0.045,0.07,0.026,0.027,0.029,0.032,0.05,3,0,0,0,10,1,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.037,0.001
2,Q03,jsonb,15,0.017,0.018,0.019,0.02,0.025,0.026,0.027,0.029,0.033,0.04,3,0,0,0,10,1,Index Scan using T_pkey,1,1,1,1,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",0.018,0.001
2,Q04,json,15,54.885,61.096,63.515,64.162,77.705,0.026,0.032,0.041,0.046,0.049,1250,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",60.185,0.573
2,Q04,jsonb,15,11.175,11.571,12.072,12.865,14.14,0.033,0.035,0.042,0.045,0.074,981,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",11.94,0.495
2,Q05,json,15,1041.54,1070.225,1107.349,1129.932,1152.065,0.049,0.053,0.055,0.057,0.078,1250,0,0,0,16,1047,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",1138.548,4.425
2,Q05,jsonb,15,82.664,84.479,94.473,94.791,102.938,0.045,0.049,0.052,0.055,0.059,981,0,0,0,16,1047,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",89.131,3.413
2,Q06,json,15,7174.93,7416.901,7494.955,7675.167,8965.398,0.125,0.147,0.153,0.165,0.188,1250,0,0,0,72,3796,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",21737.18,115.111
2,Q06,jsonb,15,578.167,587.382,613.074,634.6,1005.144,0.128,0.14,0.153,0.161,0.163,981,0,0,0,72,3796,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",933.983,38.297
2,Q07,json,15,71.579,80.738,85.785,94.673,100.335,0.043,0.051,0.056,0.082,0.297,1250,0,0,0,9,1,Seq Scan on T,25,12,25,12,4988,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",110.383,0.02
2,Q07,jsonb,15,14.267,15.207,17.583,19.245,23.482,0.046,0.05,0.059,0.086,0.477,981,0,0,0,9,1,Seq Scan on T,25,12,25,12,4988,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",19.253,0.029
2,Q08,json,15,120.486,128.435,144.373,151.504,173.458,0.047,0.048,0.052,0.059,0.152,1250,0,0,0,9,3,Seq Scan on T,25,225,25,225,4775,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",141.867,0.087
2,Q08,jsonb,15,13.241,14.655,16.226,19.099,23.677,0.043,0.048,0.057,0.059,0.17,981,0,0,0,9,3,Seq Scan on T,25,225,25,225,4775,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.313,0.027
2,Q09,json,15,59.047,63.249,75.506,85.871,101.139,0.04,0.045,0.051,0.057,0.236,1250,0,0,0,9,15,Seq Scan on T,25,1528,25,1528,3472,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",64.338,0.176
2,Q09,jsonb,15,11.634,12.721,13.917,14.639,20.639,0.035,0.046,0.05,0.062,0.124,981,0,0,0,9,15,Seq Scan on T,25,1528,25,1528,3472,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.334,0.124
2,Q10,json,15,103.859,110.814,118.12,127.961,134.255,0.033,0.042,0.044,0.049,0.126,1250,0,0,0,9,1,Seq Scan on T,25,30,25,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",125.01,0.03
2,Q10,jsonb,15,11.115,11.708,12.193,12.884,15.729,0.026,0.043,0.047,0.052,0.107,981,0,0,0,9,1,Seq Scan on T,25,30,25,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.952,0.007
2,Q11a,json,15,116.534,139.297,176.349,212.176,220.86,0.048,0.054,0.061,0.071,0.098,1250,0,0,0,11,5,Seq Scan on T,25,422,25,422,4578,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",128.255,0.078
2,Q11a,jsonb,15,14.052,17.006,20.899,24.119,27.09,0.05,0.055,0.057,0.062,0.125,981,0,0,0,11,5,Seq Scan on T,25,422,25,422,4578,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.32,0.03
2,Q11b,json,15,172.243,189.986,195.531,200.129,218.023,0.047,0.049,0.055,0.06,0.109,1250,0,0,0,11,30,Seq Scan on T,25,3064,25,3064,1936,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",196.514,0.455
2,Q11b,jsonb,15,20.511,21.072,21.446,23.639,27.157,0.045,0.049,0.055,0.062,0.118,981,0,0,0,11,30,Seq Scan on T,25,3064,25,3064,1936,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",19.936,0.199
2,Q12a,json,15,150.59,154.76,161.201,168.183,174.906,0.041,0.043,0.047,0.05,0.063,1250,0,0,0,10,1,Seq Scan on T,25,13,25,13,4987,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",164.524,0.021
2,Q12a,jsonb,15,15.727,16.235,16.592,18.133,18.643,0.04,0.047,0.05,0.077,0.081,981,0,0,0,10,1,Seq Scan on T,25,13,25,13,4987,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",16.382,0.004
2,Q12b,json,15,145.918,155.708,163.746,173.619,182.205,0.038,0.045,0.049,0.051,0.08,1250,0,0,0,10,2,Seq Scan on T,25,108,25,108,4892,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",168.605,0.048
2,Q12b,jsonb,15,15.877,16.055,16.371,17.259,20.681,0.03,0.045,0.049,0.053,0.125,981,0,0,0,10,2,Seq Scan on T,25,108,25,108,4892,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",19.66,0.019
2,Q12c,json,15,150.097,159.129,161.267,170.283,185.037,0.03,0.044,0.049,0.089,0.134,1250,0,0,0,10,5,Seq Scan on T,25,498,25,498,4502,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",157.67,0.104
2,Q12c,jsonb,15,14.771,16.1,16.544,16.769,17.865,0.032,0.042,0.046,0.051,0.171,981,0,0,0,10,5,Seq Scan on T,25,498,25,498,4502,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",18.468,0.046
2,Q13a,json,15,107.56,110.158,127.487,185.815,231.734,0.027,0.04,0.051,0.06,0.111,1250,0,0,0,8,6,Seq Scan on T,8,545,8,545,4455,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",115.956,0.084
2,Q13a,jsonb,15,10.954,12.284,12.879,18.748,38.57,0.023,0.041,0.049,0.066,0.105,981,0,0,0,8,6,Seq Scan on T,8,545,8,545,4455,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.546,0.056
2,Q13b,json,15,105.44,109.112,113.373,122.786,155.424,0.039,0.044,0.047,0.048,0.07,1250,0,0,0,8,2,Seq Scan on T,25,173,25,173,4827,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",113.186,0.036
2,Q13b,jsonb,15,11.95,12.114,12.395,13.518,18.291,0.036,0.041,0.046,0.048,0.053,981,0,0,0,8,2,Seq Scan on T,25,173,25,173,4827,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",18.155,0.031
2,Q14,json,15,61.276,63.767,67.298,78.348,81.041,0.041,0.054,0.061,0.066,0.156,1250,0,0,0,25,1,Seq Scan on T [Function Scan <type>_array_elements_text],2500,3,2500,3,4997,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",73.184,0.003
2,Q14,jsonb,15,12.651,13.355,14.12,14.553,15.3,0.038,0.053,0.061,0.066,0.282,981,0,0,0,25,1,Seq Scan on T [Function Scan <type>_array_elements_text],2500,3,2500,3,4997,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.694,0.001
2,Q15,json,15,107.339,113.718,121.574,126.246,139.493,0.028,0.038,0.042,0.046,0.184,1250,0,0,0,8,29,Seq Scan on T,4975,2941,4975,2941,2059,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",107.135,0.391
2,Q15,jsonb,15,11.193,12.182,12.618,13.061,14.021,0.035,0.038,0.042,0.044,0.053,981,0,0,0,8,29,Seq Scan on T,4975,2941,4975,2941,2059,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.552,0.227
2,Q16,json,15,79.038,80.29,83.156,88.686,168.104,0.032,0.044,0.053,0.056,0.156,1250,0,0,0,11,1,Seq Scan on T,1,78,1,78,4922,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",87.778,0.021
2,Q16,jsonb,15,11.472,12.774,13.053,13.923,15.469,0.029,0.047,0.051,0.055,0.086,981,0,0,0,11,1,Seq Scan on T,1,78,1,78,4922,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.48,0.009
2,Q17,json,15,101.271,107.971,112.962,121.74,151.151,0.036,0.052,0.058,0.06,0.144,1250,0,0,0,13,1,Aggregate [Seq Scan on T],200,8,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",111.12,0.005
2,Q17,jsonb,15,11.744,12.685,13.422,15.457,16.396,0.049,0.051,0.057,0.062,0.232,981,0,0,0,13,1,Aggregate [Seq Scan on T],5000,8,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",13.186,0.006
2,Q18,json,15,208.892,215.692,225.855,237.101,289.045,0.045,0.058,0.062,0.065,0.274,1250,0,0,0,15,1,Aggregate [Seq Scan on T],200,32,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",229.572,0.009
2,Q18,jsonb,15,20.428,20.7,21.206,21.997,24.935,0.036,0.058,0.062,0.084,0.159,981,0,0,0,15,1,Aggregate [Seq Scan on T],5000,32,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",21.256,0.008
2,Q19,json,15,374.947,387.573,398.281,417.102,422.274,0.058,0.062,0.067,0.08,0.237,1250,0,0,0,20,1,Aggregate [Seq Scan on T],1,1,25,4249,751,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",403.592,0.006
2,Q19,jsonb,15,38.714,39.749,41.471,44.046,50.208,0.06,0.065,0.068,0.071,0.184,981,0,0,0,20,1,Aggregate [Seq Scan on T],1,1,25,4249,751,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",38.928,0.003
2,Q20,json,15,121.192,127.835,131.761,146.455,147.63,0.032,0.04,0.043,0.047,0.08,1250,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",129.798,0.855
2,Q20,jsonb,15,11.54,12.105,12.816,13.442,19.728,0.018,0.032,0.039,0.043,0.067,981,0,0,0,8,93,Seq Scan on T,5000,5000,5000,5000,None,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",12.38,0.483
2,Q21,json,15,123.642,130.997,132.799,143.533,151.71,0.025,0.037,0.041,0.045,0.118,1250,0,0,0,8,1,Seq Scan on T,2500,30,2500,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",131.899,0.015
2,Q21,jsonb,15,11.081,12.102,13.425,14.363,16.209,0.024,0.036,0.043,0.044,0.087,981,0,0,0,8,1,Seq Scan on T,2500,30,2500,30,4970,0,False,"{""jit"": ""off"", ""max_parallel_workers_per_gather"": ""0""}",14.441,0.007
